Type,Method,Bg_RRGGBB, Bg_L,Bg_a,Bg_b,Bg_TD_RRGGBB,Bg_TD_L,Bg_TD_a,Bg_TD_b,Bg_ND_RRGGBB,Bg_ND_L,Bg_ND_a,Bg_ND_b,Fg_L,Fg_a,Fg_b,CD_Fg_L,CD_Fg_a,CD_Fg_b,Com_Fg_L,Com_Fg_a,Com_Fg_b,GammutFlag,ComS_Fg_L,ComS_Fg_a,ComS_Fg_b,Measured_L,Measured_a,Measured_b,,,,,,,
AD,ND,0x39469e,32.91127083,24.71398711,-51.44824535,0x213785,25.01743187,22.19335206,-48.55347934,0x373fa6,31.33946152,32.58337179,-58.93719936,71.66293736,-23.66837177,9.314548838,68.20813676,-31.5774936,-4.285124291,66.79605501,-42.12545631,100.3855623,1,66.79605501,-42.12545631,100.3855623,62.17701773,-25.83670387,4.413937478,,,,,,,
AD,ND,0x39469e,32.91127083,24.71398711,-51.44824535,0x213785,25.01743187,22.19335206,-48.55347934,0x373fa6,31.33946152,32.58337179,-58.93719936,38.81970108,13.51069225,18.38023804,28.82461764,4.657254828,3.576134911,22.85398984,-34.75558799,-65.68729564,1,22.85398984,-34.75558799,-65.68729564,42,59.63143687,-96.8461939,,,,,,,
AD,ND,0x39469e,32.91127083,24.71398711,-51.44824535,0x213785,25.01743187,22.19335206,-48.55347934,0x373fa6,31.33946152,32.58337179,-58.93719936,48.13608394,8.983423221,32.44980689,38.20786785,-1.97469438,21.43777917,38.0304879,-17.41570128,-38.84378499,1,38.0304879,-17.41570128,-38.84378499,43.0182844,35.12289804,-68.40018756,,,,,,,
AD,ND,0x39469e,32.91127083,24.71398711,-51.44824535,0x213785,25.01743187,22.19335206,-48.55347934,0x373fa6,31.33946152,32.58337179,-58.93719936,75.96082075,-68.4708374,51.90967259,75.90631711,-73.30123051,55.64885406,71.57320393,-97.22902733,34.91040596,1,71.57320393,-97.22902733,34.91040596,68.19712916,-42.33815776,0.707401955,,,,,,,
AD,ND,0x39469e,32.91127083,24.71398711,-51.44824535,0x213785,25.01743187,22.19335206,-48.55347934,0x373fa6,31.33946152,32.58337179,-58.93719936,38.89683387,-28.77886289,28.03994177,30.05916923,-26.21802672,12.67739114,23.00714825,-5.882187236,-68.12868515,1,23.00714825,-5.882187236,-68.12868515,40.3118762,59.02643949,-95.69131341,,,,,,,
AD,ND,0x39469e,32.91127083,24.71398711,-51.44824535,0x213785,25.01743187,22.19335206,-48.55347934,0x373fa6,31.33946152,32.58337179,-58.93719936,38.81970108,13.51069225,18.38023804,28.82461764,4.657254828,3.576134911,22.85398984,-34.75558799,-65.68729564,1,22.85398984,-34.75558799,-65.68729564,42,59.63143687,-96.8461939,,,,,,,
AD,ND,0x39469e,32.91127083,24.71398711,-51.44824535,0x213785,25.01743187,22.19335206,-48.55347934,0x373fa6,31.33946152,32.58337179,-58.93719936,57.51315966,18.92571529,-18.85033932,50.0433872,17.56099551,-39.69991519,50.28145714,5.187806947,46.6309153,0,50.28145714,5.187806947,46.6309153,44.85744571,14.62747263,-23.21934242,,,,,,,
AD,ND,0x39469e,32.91127083,24.71398711,-51.44824535,0x213785,25.01743187,22.19335206,-48.55347934,0x373fa6,31.33946152,32.58337179,-58.93719936,29.47399289,32.35951637,-32.41416138,21.28241335,39.32668202,-46.94125993,6.975697215,11.2256397,-72.67964355,1,6.975697215,11.2256397,-72.67964355,54.5012425,-17.75964669,-25.17079187,,,,,,,
AD,ND,0x39469e,32.91127083,24.71398711,-51.44824535,0x213785,25.01743187,22.19335206,-48.55347934,0x373fa6,31.33946152,32.58337179,-58.93719936,55.8335634,88.87700372,-30.71066389,53.10782408,77.6351472,-46.63840637,48.19736095,91.7751968,13.58543108,1,48.19736095,91.7751968,13.58543108,62.60880339,35.62257599,-7.036960167,,,,,,,
AD,ND,0x39469e,32.91127083,24.71398711,-51.44824535,0x213785,25.01743187,22.19335206,-48.55347934,0x373fa6,31.33946152,32.58337179,-58.93719936,62.2533795,-9.570487735,9.262571207,55.87188596,-17.09885104,-1.920582262,55.99066389,-30.31415921,31.56964911,0,55.99066389,-30.31415921,31.56964911,52.16351927,-13.36466247,-19.97580535,,,,,,,
AD,ND,0x39469e,32.91127083,24.71398711,-51.44824535,0x213785,25.01743187,22.19335206,-48.55347934,0x373fa6,31.33946152,32.58337179,-58.93719936,66.80349401,-13.8887269,-5.115851542,61.5764902,-15.23640717,-21.7281906,61.2864196,-32.71903347,56.22250616,0,61.2864196,-32.71903347,56.22250616,57.63622272,-22.44396807,-6.908454379,,,,,,,
AD,ND,0x39469e,32.91127083,24.71398711,-51.44824535,0x213785,25.01743187,22.19335206,-48.55347934,0x373fa6,31.33946152,32.58337179,-58.93719936,52.29577169,52.15447412,-0.832409952,42.67270099,49.16311529,-18.57924237,43.67078198,47.76427712,-0.638786978,0,43.67078198,47.76427712,-0.638786978,64.97844365,10.80780608,-30.95975464,,,,,,,
AD,ND,0x39469e,32.91127083,24.71398711,-51.44824535,0x213785,25.01743187,22.19335206,-48.55347934,0x373fa6,31.33946152,32.58337179,-58.93719936,38.57486902,12.79172403,47.24988541,27.24154896,1.836069914,13.35241237,22.36259142,-39.19754676,-72.65828163,1,22.36259142,-39.19754676,-72.65828163,39.05336775,45.95916856,-80.74874495,,,,,,,
AD,ND,0x39469e,32.91127083,24.71398711,-51.44824535,0x213785,25.01743187,22.19335206,-48.55347934,0x373fa6,31.33946152,32.58337179,-58.93719936,67.02599156,13.82662598,-4.836257304,59.82996947,11.78115373,-25.3248446,61.5416599,2.269749742,56.28082173,0,61.5416599,2.269749742,56.28082173,55.63439979,10.18223869,-3.144497138,,,,,,,
