Type,Method,Bg_RRGGBB, Bg_L,Bg_a,Bg_b,Bg_TD_RRGGBB,Bg_TD_L,Bg_TD_a,Bg_TD_b,Bg_ND_RRGGBB,Bg_ND_L,Bg_ND_a,Bg_ND_b,Fg_L,Fg_a,Fg_b,CD_Fg_L,CD_Fg_a,CD_Fg_b,Com_Fg_L,Com_Fg_a,Com_Fg_b,GammutFlag,ComS_Fg_L,ComS_Fg_a,ComS_Fg_b,Measured_L,Measured_a,Measured_b
1,,,,,,,,,,,,,,43.22428951,36.03353502,-66.13004987,39.6225449,60.25427604,-96.31801994,30.88758977,65.30870401,-94.65819528,0,33.48261109,45.48970574,-71.29644724,40.34467287,58.20947645,-92.19978516
1,,,,,,,,,,,,,,56.82979993,57.01569021,36.3440368,46.73744322,52.74183128,26.18300963,40.24434059,53.31957508,-7.666006594,0,46.27218258,74.38440212,1.906874998,47.49496263,57.22367683,-38.98207528
1,,,,,,,,,,,,,,34.17105767,18.60724478,-13.83969023,24.6866178,13.95591828,-26.67730193,0.958501566,29.91692553,-63.16566095,1,25.34961265,-4.758846199,-0.169983007,32.67875572,24.96055017,-54.96800861
1,,,,,,,,,,,,,,66.73788337,51.93901256,-18.94095564,60.55147747,55.45363228,-42.92580363,56.40566814,54.76207349,-29.19294904,0,66.68431355,52.11526418,-5.110575073,61.44658961,54.93097907,-38.36057524
1,,,,,,,,,,,,,,71.38870786,13.46744867,56.83721712,62.98171998,6.26042669,52.04265253,59.10727618,-0.434211315,26.22746873,0,71.49034459,9.14898535,37.65191673,66.49699609,6.215336498,-5.583795838
1,,,,,,,,,,,,,,28.02855553,63.25541914,-67.8702486,26.31760372,62.62311171,-83.12489393,3.919318434,103.8837163,-93.83462728,1,21.71577359,60.4496135,-82.53863694,33.77374895,58.34152872,-88.95008408
1,,,,,,,,,,,,,,61.57117595,51.25573135,70.29487926,52.58642213,46.67189822,56.82246645,47.29934445,45.39172138,-4.436672855,0,61.95480308,47.29902281,18.05044687,56.36705235,49.17419948,-23.89621282
1,,,,,,,,,,,,,,43.76006164,-8.877777249,-32.48206011,37.95883722,12.7006933,-51.09232691,28.49564172,-1.623459507,-32.33761022,0,34.05841753,-11.3936987,-18.78824109,38.49846139,12.89912258,-44.21943857
1,,,,,,,,,,,,,,71.47266811,33.16238867,-42.6552711,67.88034634,47.04141422,-55.3787132,64.47456631,45.34082985,-45.97357033,0,66.88657317,28.02655645,-47.03095293,66.71050253,45.53249844,-57.39568529
1,,,,,,,,,,,,,,85.77129657,-4.956157929,56.81521584,82.08487984,-20.79062247,60.184771,79.63310225,-27.18209439,90.93731783,0,86.95327643,-10.22611308,86.24152869,84.39089625,-17.31918557,40.90886678
1,,,,,,,,,,,,,,57.51315966,18.92571529,-18.85033932,50.0433872,17.56099551,-39.69991519,44.28149308,10.36735505,-20.45939924,0,52.84938325,13.86009098,-4.860676525,49.65340535,16.92035636,-34.57962123
1,,,,,,,,,,,,,,43.54630381,-19.00926796,27.88865317,34.9932216,-19.99101731,17.11993271,23.91422639,-100.0515315,-41.48197738,1,52.84186876,-41.25962266,9.016171644,51.11730806,-4.735218533,-37.35865745
1,,,,,,,,,,,,,,66.44956752,-20.80481699,-33.99446682,63.42132275,2.75326661,-62.38779723,59.59296619,-4.383832978,-53.59356706,0,62.40817671,-23.13419665,-27.86890721,62.7600715,1.599585791,-56.16021822
1,,,,,,,,,,,,,,47.35032292,47.21294997,36.12141103,36.55559679,41.00700717,19.42493446,26.38689774,41.50151518,-37.05746446,0,37.04325742,64.52050053,-12.18073315,40.06467426,49.00015793,-55.57416337
1,,,,,,,,,,,,,,71.52209865,-37.75886705,32.7418041,68.64247039,-52.64437038,27.15190257,65.30158112,-67.9253661,108.5361483,1,71.12319364,-63.57498269,70.23954843,71.43943594,-50.61396373,18.62083119
1,,,,,,,,,,,,,,62.06832742,13.62213872,37.48048933,52.21946441,6.078935507,28.94446023,46.86789317,-3.418728783,8.409249863,0,57.6148475,4.273275569,19.02087106,53.64293647,7.467395077,-26.55956014
1,,,,,,,,,,,,,,79.312942,-51.15721673,1.585710449,78.9893984,-46.61261286,-11.10826123,76.36836586,-56.47791559,5.26163447,0,78.47044382,-57.00400342,14.42888381,79.68206582,-45.92228241,-5.28822066
1,,,,,,,,,,,,,,61.53267513,72.24154049,-34.25934612,56.06275496,78.383585,-60.7478478,51.32903196,80.59199916,-50.63713558,0,56.07516332,83.50864857,-30.4252248,55.90712222,75.35431472,-57.20609152
1,,,,,,,,,,,,,,48.23139853,23.13761554,4.693435736,37.38995168,18.06922448,-8.834435205,27.65193949,6.801394685,-12.24026362,0,39.03930728,9.067504603,4.741605855,38.49846139,19.97715054,-45.6413499
1,,,,,,,,,,,,,,52.059733,67.31695007,-43.73636096,45.20664686,72.07623477,-68.73154765,38.32075626,76.64692967,-59.53308339,0,46.37619409,79.59849846,-45.14072427,47.55942456,67.64638512,-67.46119316
1,,,,,,,,,,,,,,43.07008199,-38.47058015,27.32335003,36.7900138,-32.68944175,17.67200499,26.74584193,-100.2852093,-35.50189556,1,66.52665939,-49.27132257,10.9513513,61.30754696,-17.09717027,-32.01837976
1,,,,,,,,,,,,,,57.58273125,32.84521927,-23.44330247,50.39342607,33.13853613,-44.84490149,44.70095088,29.50261948,-28.23548759,0,52.83571193,32.98611538,-9.659168618,49.06881422,32.06183433,-38.99631485
1,,,,,,,,,,,,,,85.89332611,9.304369696,-9.540843249,84.25390189,6.537575347,-27.14844502,81.91090982,2.538827628,-15.91090911,0,85.72276273,9.732348756,4.611332952,83.34230984,9.0726538,-27.18998692
1,,,,,,,,,,,,,,47.21810925,57.80968598,16.95527538,37.11474085,50.83024249,4.245845565,27.238457,54.75026755,-26.46518773,1,42.0194061,63.99901742,-11.7505758,41.7514699,52.72496537,-51.36556812
1,,,,,,,,,,,,,,62.01161822,37.40311007,4.425166287,52.18031245,37.72737908,-14.12708612,46.82178461,34.9762154,24.60962564,0,57.19576987,37.45280256,37.00958967,51.78063334,37.50511517,-16.24835694
1,,,,,,,,,,,,,,71.61475063,18.4415479,32.91773618,62.68030804,11.98902593,21.83277661,58.77375675,6.082167269,68.35700239,1,71.48114539,15.95140534,75.00165301,66.61151178,12.49339814,12.76952396
1,,,,,,,,,,,,,,20.63762889,-4.470993083,-4.475970067,17.24974302,-1.144460201,-5.684334449,15.83043298,33.86506286,-58.21673243,0,34.53963727,-0.227403542,-4.078207839,35.92647043,27.71278745,-60.06365831
1,,,,,,,,,,,,,,71.55810699,42.40770986,-9.526892305,64.92683719,44.87093523,-33.43927197,61.24994902,42.9866101,-18.32225302,0,71.54210992,42.41345909,-0.055276394,66.21315631,44.03602162,-31.42589617
1,,,,,,,,,,,,,,62.06477148,37.51897454,-52.13341849,57.7081191,55.91579937,-72.91703604,53.2045267,55.4759474,-65.40467311,0,57.31961654,47.20203139,-37.68795923,55.86684939,51.29662154,-72.36095841
1,,,,,,,,,,,,,,32.02841382,65.66983888,-59.43355056,28.31386325,61.28567486,-76.26097408,10.21275416,88.49716969,-77.81412197,1,26.99724836,61.31876965,-64.42333595,35.3607351,48.58517122,-72.39185263
1,,,,,,,,,,,,,,66.8407257,14.2596019,27.81151295,57.78465429,4.24054679,20.69375174,53.29132857,-3.973768369,40.73133207,0,62.09983189,4.054826951,47.36918304,57.77031603,4.765998739,-6.458230156
1,,,,,,,,,,,,,,66.76901601,33.14132789,-9.672258017,59.18661562,33.83236171,-32.17795865,54.87493917,30.61182589,-14.23913191,0,62.0352107,32.95988579,4.354111475,57.35689362,34.88143099,-27.86540334
1,,,,,,,,,,,,,,34.07215977,-10.28060871,-23.67840227,27.54549315,9.101151216,-38.65935733,7.848673434,-25.79634194,-19.74386609,1,20.7806597,-9.55543432,-0.056712101,30.10816838,28.56779343,-56.95800112
1,,,,,,,,,,,,,,85.37759809,-63.1748376,18.15105365,86.59310526,-63.12553186,10.87237176,84.35933744,-72.73429097,30.78197221,0,84.60380463,-68.59839722,31.69429638,86.99195936,-60.94942707,15.06373944
