Type,Method,Bg_TD_RRGGBB,Bg_TD_L,Bg_TD_a,Bg_TD_b,Fg_L,Fg_a,Fg_b,CD_Fg_L,CD_Fg_a,CD_Fg_b,Blend_L,Blend_A,Blend_B,CompensatedBlend_L,CompensatedBlend_a,CompensatedBlend_b,BGLValue,FGLValue,NuetralValue,Region,Blend_Original_Distance,ComBlend_Original_Distance,Accuracy
BP,TD,0x32252c,14.30647988,8.425655622,-2.12945129,71.43441139,33.24523534,-0.421795445,63.70488468,33.27489492,-21.18169937,65.13945598,33.30050847,-20.81145106,65.13945598,33.30050847,-20.81145106,0,1,1,6,1.481801158,1.481801158,0.00%
BP,TD,0x32252c,14.30647988,8.425655622,-2.12945129,16.0986956,-8.784401233,-0.427491994,13.16914486,-4.787589627,-7.412185372,21.46246431,-1.216703826,-8.544267088,21.46246431,-1.216703826,-8.544267088,0,0,0,3,14.65507418,14.65507418,0.00%
BP,TD,0x32252c,14.30647988,8.425655622,-2.12945129,80.91368821,-29.06850282,-14.2462114,80.22175991,-23.00263603,-34.10041395,81.21366336,-21.52258565,-32.39023559,81.21366336,-21.52258565,-32.39023559,0,1,1,4,2.469641999,2.469641999,0.00%
BP,TD,0x32252c,14.30647988,8.425655622,-2.12945129,52.7228067,37.70576144,-14.29759111,42.68025703,38.78605095,-34.92591222,50.52692787,37.5767197,-35.46165232,50.52692787,37.5767197,-35.46165232,0,1,1,6,2.602075811,2.602075811,0.00%
BP,TD,0x32252c,14.30647988,8.425655622,-2.12945129,62.19935519,8.692964349,-42.46604939,58.41009826,24.09547364,-71.40625145,59.64250648,22.64613104,-65.560783,59.64250648,22.64613104,-65.560783,0,1,1,4,2.237769599,2.237769599,0.00%
BP,TD,0x32252c,14.30647988,8.425655622,-2.12945129,66.80349401,-13.8887269,-5.115851542,61.5764902,-15.23640717,-21.7281906,63.08861347,-13.18627942,-21.3078221,63.08861347,-13.18627942,-21.3078221,0,1,0,4,2.581908257,2.581908257,0.00%
BP,TD,0x32252c,14.30647988,8.425655622,-2.12945129,90.53598349,-14.22167265,4.877997576,90.24100709,-23.67601078,-15.71758919,91.05678211,-22.49046736,-15.4193412,91.05678211,-22.49046736,-15.4193412,0,1,0,3,1.469678178,1.469678178,0.00%
BP,TD,0x32252c,14.30647988,8.425655622,-2.12945129,80.56513037,-68.71222272,37.01482164,81.21733358,-72.34135608,38.66974216,82.21090795,-67.35638692,31.09698487,82.21090795,-67.35638692,31.09698487,0,1,1,3,3.398107604,3.398107604,0.00%
BP,TD,0x32252c,14.30647988,8.425655622,-2.12945129,81.09848349,4.730353887,0.116687339,77.49263007,-1.390216733,-21.37424842,78.54232603,-0.432437305,-21.1588584,78.54232603,-0.432437305,-21.1588584,0,1,0,6,1.43721811,1.43721811,0.00%
BP,TD,0x32252c,14.30647988,8.425655622,-2.12945129,76.30446127,-19.06680412,33.02135083,72.65752401,-36.83719621,29.20786655,73.82261346,-34.50005504,27.80526303,73.82261346,-34.50005504,27.80526303,0,1,1,2,2.964280506,2.964280506,0.00%
BP,TD,0x32252c,14.30647988,8.425655622,-2.12945129,16.0986956,-8.784401233,-0.427491994,13.16914486,-4.787589627,-7.412185372,21.46246431,-1.216703826,-8.544267088,21.46246431,-1.216703826,-8.544267088,0,0,0,3,14.65507418,14.65507418,0.00%
BP,TD,0x32252c,14.30647988,8.425655622,-2.12945129,47.68672094,52.31518164,-42.84116253,39.6225449,59.61970107,-68.18284142,48.06202611,52.74281711,-67.43364782,48.06202611,52.74281711,-67.43364782,0,0,1,5,3.678054789,3.678054789,0.00%
BP,TD,0x32252c,14.30647988,8.425655622,-2.12945129,71.43100279,37.84835182,-28.46603626,66.81684364,43.76799192,-57.21233855,68.14817161,43.53486927,-54.9169455,68.14817161,43.53486927,-54.9169455,0,1,1,5,2.66375855,2.66375855,0.00%
BP,TD,0x32252c,14.30647988,8.425655622,-2.12945129,71.37520302,51.99133769,-19.02629817,65.65122936,57.91934435,-44.84719646,66.91029933,52.41256006,-44.87079951,66.91029933,52.41256006,-44.87079951,0,1,1,6,1.683995758,1.683995758,0.00%
BP,TD,0x32252c,14.30647988,8.425655622,-2.12945129,71.63626468,0.321638904,4.478908791,66.28622104,-7.146243483,-11.16354028,67.63436149,-5.689307914,-11.09480015,67.63436149,-5.689307914,-11.09480015,0,1,0,1,1.986169461,1.986169461,0.00%
BP,TD,0x32252c,14.30647988,8.425655622,-2.12945129,71.59414728,18.57066964,0.040056531,64.3023583,14.43153782,-19.3147131,65.71621244,15.10396119,-19.0021122,65.71621244,15.10396119,-19.0021122,0,1,0,6,1.596513711,1.596513711,0.00%
BP,TD,0x32252c,14.30647988,8.425655622,-2.12945129,81.01958651,23.76937235,-9.745665466,77.24793852,21.12725615,-34.4165847,78.3030586,21.52911068,-33.99451794,78.3030586,21.52911068,-33.99451794,0,1,1,6,1.20536542,1.20536542,0.00%
BP,TD,0x32252c,14.30647988,8.425655622,-2.12945129,71.43100279,37.84835182,-28.46603626,66.81684364,43.76799192,-57.21233855,68.14817161,43.53486927,-54.9169455,68.14817161,43.53486927,-54.9169455,0,1,1,5,2.66375855,2.66375855,0.00%
BP,TD,0x32252c,14.30647988,8.425655622,-2.12945129,66.76901601,33.14132789,-9.672258017,59.18661562,33.83236171,-32.17795865,60.79339446,33.77096554,-31.42981806,60.79339446,33.77096554,-31.42981806,0,1,1,6,1.7734774,1.7734774,0.00%
