BGLValue,FGLValue,NuetralValue,Region,Distance,BGFG,bgN
0,0,1,4,4.654302512,0,1
0,1,1,1,65.32341897,1,1
0,0,1,5,31.39013023,0,1
0,1,1,6,4.681420978,1,1
0,1,1,1,57.73358425,1,1
0,0,1,5,10.3855137,0,1
0,1,1,1,80.84590193,1,1
0,0,1,4,6.896895139,0,1
0,1,1,5,2.777325653,1,1
0,1,1,1,19.72128468,1,1
0,1,1,5,5.174931362,1,1
0,0,1,2,58.82722453,0,1
0,1,1,4,6.367964586,1,1
0,0,1,1,75.50542205,0,1
0,1,1,2,9.204604627,1,1
0,1,1,1,55.53962882,1,1
0,1,1,3,5.901628294,1,1
0,1,1,6,4.663125296,1,1
0,0,1,6,36.8729975,0,1
0,1,1,5,5.1742566,1,1
0,0,1,3,57.56181633,0,1
0,1,1,5,6.092606093,1,1
0,1,0,5,2.694317828,1,0
0,0,1,6,55.8365343,0,1
0,1,1,6,2.170007956,1,1
0,1,1,1,9.891981741,1,1
0,0,0,4,64.3325093,0,0
0,1,1,6,2.530885167,1,1
0,1,1,5,5.003628713,1,1
0,0,1,5,15.03101116,0,1
0,1,1,1,27.15706954,1,1
0,1,1,6,4.800683519,1,1
0,0,1,4,26.83948263,0,1
0,1,1,3,4.739417652,1,1
0,0,1,1,85.61214342,0,1
0,1,1,2,4.488860646,1,1
0,1,1,6,6.567066627,1,1
0,0,1,1,76.3251963,0,1
0,0,1,6,82.85053857,0,1
0,1,1,2,62.52176087,1,1
0,1,0,2,8.035289731,1,0
0,1,1,2,8.881623489,1,1
0,1,1,1,65.32341897,1,1
0,0,1,4,1.560070309,0,1
0,0,1,1,79.88144686,0,1
0,1,1,2,63.49871615,1,1
0,1,1,1,7.259870179,1,1
0,1,1,6,2.170007956,1,1
0,0,0,3,12.61467519,0,0
0,1,0,3,4.855407222,1,0
0,0,1,6,56.12168552,0,1
0,0,1,1,59.00732127,0,1
0,1,1,3,49.5916416,1,1
0,0,1,1,63.72834656,0,1
0,0,0,1,59.3457573,0,0
0,1,1,2,24.83690876,1,1
0,1,1,3,4.003252236,1,1
0,0,1,1,58.06112748,0,1
0,0,1,4,9.908460536,0,1
0,1,1,1,2.402686366,1,1
0,0,0,3,56.09994415,0,0
0,0,1,4,16.1048094,0,1
0,0,1,6,67.95792041,0,1
0,0,1,6,56.11961889,0,1
0,1,1,3,37.58016726,1,1
0,1,1,6,1.243481004,1,1
0,0,1,4,4.654302512,0,1
0,1,1,6,41.80707515,1,1
0,0,0,3,56.09994415,0,0
0,1,1,3,4.267338421,1,1
0,0,1,4,3.02745967,0,1
0,1,1,1,82.19484288,1,1
0,1,1,2,47.95148244,1,1
0,0,1,4,6.13311861,0,1
0,1,1,3,6.622372116,1,1
0,0,1,6,6.64862224,0,1
0,1,1,2,4.272397461,1,1
0,1,1,1,82.4010189,1,1
0,1,1,2,8.881623489,1,1
0,1,0,3,4.855407222,1,0
0,1,1,3,36.7465681,1,1
0,0,1,1,71.49094831,0,1
0,0,1,6,7.351885064,0,1
0,0,1,4,8.558682786,0,1
0,0,1,6,16.347969,0,1
0,0,0,1,58.2194303,0,0
0,1,0,3,4.293672424,1,0
0,1,0,4,1.149993215,1,0
0,1,1,1,84.22838629,1,1
0,1,0,6,2.82389479,1,0
0,0,1,6,81.78173521,0,1
0,0,1,3,57.56181633,0,1
0,0,1,2,73.75015563,0,1
0,1,1,6,7.435703872,1,1
0,1,1,3,12.69479002,1,1
0,0,1,1,50.85147264,0,1
0,0,1,5,22.92719818,0,1
0,0,1,1,89.72512848,0,1
0,1,1,1,7.453402286,1,1
0,0,1,6,49.37639857,0,1
0,0,1,3,28.79129449,0,1
0,1,1,5,5.79795481,1,1
0,1,0,4,3.060967055,1,0
0,0,1,6,27.35490068,0,1
0,0,1,1,58.54081003,0,1
