BinL,BinA,BinB,MeasuredL,MeasuredA,MeasuredB,MeasuredX,MeasuredY,MeasuredZ,R,G,B,OldR,OldG,OldB,Empty
0,0,0,12.1887157,2.649431385,0.286074404,0.01455,0.01435,0.01535,0,0,0,0,0,0,
0,5,-15,10.10715853,0.053429388,-10.79067387,0.01085,0.0114,0.02365,0,0,20,0,0,33,
0,5,-20,9.279672257,2.041687903,-14.3379988,0.0104,0.01035,0.02645,0,0,26,0,0,38,
0,10,-25,10.29662204,2.757293221,-18.67426905,0.0119,0.01165,0.0357,0,0,33,0,0,44,
0,15,-30,10.77686278,-0.462337972,-19.90140369,0.01155,0.0123,0.03925,0,0,40,0,0,50,
0,20,-35,10.55737043,1.795762316,-23.33463376,0.01195,0.012,0.04495,0,0,47,0,0,56,
5,35,-50,12.1559381,18.60870889,-41.76657738,0.02085,0.0143,0.10025,0,0,76,0,0,86,
100,-5,30,16.79649774,44.47661532,-67.36002076,0.0488,0.0226,0.2589,255,250,187,0,0,126,
15,55,-75,20.75081962,54.71273048,-79.33230506,0.0736,0.0318,0.39545,0,0,143,0,0,148,
25,70,-95,31.10223516,80.93984894,-110.9319489,0.1741,0.06695,0.96545,0,0,205,0,0,210,
100,-5,30,39.54676477,96.31677891,-104.2297159,0.28775,0.1098,1.0888,255,250,187,0,0,252,
100,-5,30,28.56415494,75.636501,-103.0150597,0.1459,0.0567,0.79175,255,250,187,0,1,194,
100,-5,30,25.16806902,64.92047827,-92.79904056,0.10825,0.0447,0.5979,255,250,187,0,2,174,
10,45,-65,17.82791387,37.5217945,-60.85731008,0.04685,0.0248,0.2304,0,0,114,0,3,120,
100,-5,30,22.98180242,54.56323053,-79.3095879,0.08385,0.03795,0.4281,255,250,187,0,4,154,
0,0,-5,9.481595126,-9.324104951,-13.8801518,0.0077,0.0106,0.0263,0,0,7,0,5,20,
100,-5,30,17.57597016,37.4262108,-64.10432193,0.04595,0.02425,0.2471,255,250,187,0,5,124,
0,0,-10,10.74053049,-0.97312234,-10.81655112,0.01135,0.01225,0.0251,0,2,14,0,6,27,
100,-5,30,11.34524095,15.16338294,-36.53351789,0.0179,0.0131,0.07975,255,250,187,0,6,77,
100,-5,30,14.5963776,16.32294975,-40.53754417,0.02475,0.01835,0.1105,255,250,187,0,6,90,
5,30,-45,12.67149278,14.91657839,-37.65617084,0.0202,0.0151,0.0899,0,0,65,0,8,79,
20,60,-85,26.24484291,66.74735237,-93.55318484,0.11715,0.0483,0.62695,0,0,173,0,9,178,
15,50,-70,20.12381728,50.53558785,-74.41530743,0.0667,0.0302,0.34765,0,0,128,0,10,140,
5,25,-40,10.48339408,11.40610594,-35.32810391,0.01505,0.0119,0.0723,0,0,56,0,13,73,
10,40,-60,16.20544074,33.34853892,-56.74398033,0.0388,0.0214,0.1926,0,0,101,0,14,112,
5,25,-45,12.98452508,12.64700429,-36.2686584,0.0198,0.0156,0.0873,0,8,70,0,15,79,
30,75,-105,37.86037197,92.11373095,-107.1372897,0.25925,0.1001,1.0888,0,0,237,0,15,243,
25,65,-90,30.56855363,75.38620019,-105.8095872,0.16005,0.0647,0.8772,0,0,189,0,16,201,
5,20,-40,13.91433577,10.5804223,-32.29597245,0.02065,0.01715,0.0803,0,9,61,0,18,73,
10,35,-55,15.56576648,24.38007968,-51.0401093,0.0314,0.02015,0.15965,0,4,91,0,19,105,
15,45,-65,18.21005552,46.29339697,-70.99370756,0.0553,0.02565,0.29885,0,0,118,0,19,133,
5,15,-35,12.2540432,7.813996001,-28.76474971,0.01655,0.01445,0.0633,0,5,50,0,20,66,
20,55,-80,24.62365968,62.85868843,-89.02425282,0.10245,0.04295,0.54775,0,0,158,0,20,170,
5,10,-30,11.09950662,5.025854217,-28.31275276,0.01375,0.01275,0.0575,0,7,43,0,22,60,
25,65,-95,31.41672527,80.18108657,-110.0374793,0.1752,0.0683,0.96015,0,5,206,0,22,210,
10,30,-50,14.28758575,25.42319628,-50.32317629,0.02885,0.0178,0.14675,0,7,81,0,23,98,
5,5,-25,10.3341887,5.914429723,-24.60507231,0.01295,0.0117,0.0467,0,11,41,0,24,54,
5,0,-15,9.197992617,-0.716788799,-18.75432702,0.00955,0.01025,0.03275,0,9,23,0,25,42,
5,0,-20,8.481269816,12.81541745,-21.68442349,0.0126,0.0094,0.0355,0,13,35,0,25,47,
10,25,-45,11.58663639,27.47733592,-46.94890946,0.02385,0.01345,0.1149,0,11,77,0,25,91,
5,-5,-5,6.50376,4.535574386,-17.89364175,0.00795,0.0072,0.0248,0,11,13,0,26,30,
15,40,-65,17.13166765,51.92927152,-72.64971544,0.05615,0.0233,0.29745,0,11,124,0,26,133,
5,-5,-10,8.949720386,6.240181966,-15.41342233,0.0112,0.00995,0.02715,0,12,20,0,27,36,
5,-5,-15,9.156953469,11.60037607,-19.91378954,0.01315,0.0102,0.0345,0,18,32,0,27,41,
20,50,-75,23.52211266,59.97036957,-84.60138713,0.0929,0.03955,0.485,0,6,146,0,27,162,
30,70,-100,35.52784298,92.98792517,-111.1588914,0.23785,0.08765,1.0888,0,0,221,0,27,234,
5,-10,5,9.320314887,6.475614209,-22.10264061,0.01175,0.0104,0.0387,0,12,0,0,28,14,
5,-10,0,10.25894775,4.681540913,-11.22803494,0.01245,0.0116,0.02455,0,16,11,0,28,24,
5,-10,-5,8.084206062,12.7793688,-14.66903962,0.01205,0.00895,0.02415,0,18,18,0,28,30,
10,20,-40,11.48370023,24.89221282,-41.47610504,0.0224,0.0133,0.0955,0,11,67,0,28,84,
25,60,-90,29.61340736,79.12891699,-105.5018104,0.1594,0.0608,0.84985,0,11,195,0,29,201,
5,-15,10,6.458595,12.7597068,-20.76529812,0.01,0.00715,0.02865,0,19,0,0,30,0,
5,-15,5,12.67149278,-1.01599026,-8.671954568,0.014,0.0151,0.0267,0,20,7,0,30,14,
10,15,-35,13.35145675,20.1765978,-32.22653279,0.024,0.0162,0.07735,0,12,60,0,30,77,
15,35,-60,18.18781231,43.30392551,-63.59009481,0.0527,0.0256,0.2504,0,13,113,0,30,125,
10,15,-40,12.22141726,26.15956524,-40.98815866,0.02455,0.0144,0.09805,0,20,76,0,31,84,
20,45,-70,20.9042695,61.14807099,-82.30163067,0.0812,0.0322,0.42295,0,11,138,0,31,154,
10,10,-30,9.36082746,25.06568068,-36.47171975,0.01845,0.01045,0.0702,0,14,53,0,32,70,
10,10,-35,13.65037199,15.97850292,-31.7468423,0.0226,0.0167,0.07745,0,21,67,0,32,77,
100,-5,30,13.59107108,23.59165797,-39.91846007,0.02625,0.0166,0.10235,255,250,187,0,32,86,
15,30,-55,17.01274463,42.2663412,-59.78020521,0.0478,0.02305,0.2163,0,15,103,0,32,117,
10,5,-25,12.70310415,17.02910078,-27.35287834,0.0212,0.01515,0.06175,0,16,45,0,33,64,
10,5,-30,11.51809788,17.79984053,-32.1962765,0.0193,0.01335,0.06875,0,24,62,0,34,70,
10,0,-20,8.084206062,19.62610316,-29.22602703,0.0143,0.00895,0.0482,0,18,39,0,35,57,
10,0,-25,11.41464541,19.52943798,-30.21198728,0.01985,0.0132,0.0633,0,25,54,0,35,64,
15,25,-50,16.57736092,33.79173094,-54.53624229,0.0402,0.02215,0.18465,0,18,95,0,35,110,
20,40,-65,20.96148551,54.95671799,-76.63991681,0.0748,0.03235,0.3764,0,15,132,0,35,146,
25,55,-85,28.49856145,75.33688925,-101.7970406,0.14495,0.05645,0.7743,0,16,183,0,35,193,
30,65,-95,34.72165492,86.36145856,-112.5488708,0.2157,0.0836,1.0888,0,11,212,0,35,225,
10,-5,-15,11.02847221,6.935300816,-26.33238531,0.0143,0.01265,0.0528,0,19,33,0,36,51,
10,-10,-10,11.48370023,6.395325336,-16.68729643,0.0148,0.0133,0.0358,0,21,27,0,37,45,
15,20,-45,16.20544074,23.97272783,-48.57653468,0.0328,0.0214,0.15355,0,19,85,0,37,103,
20,40,-70,21.92629184,57.4636526,-80.98097262,0.082,0.03495,0.4268,0,24,148,0,37,154,
10,-15,0,10.74053049,3.700068616,-15.64843452,0.0128,0.01225,0.03205,0,23,16,0,38,33,
10,-15,-5,12.123084,-0.278706583,-11.54755215,0.01345,0.01425,0.02945,0,27,26,0,38,39,
30,65,-100,36.36654625,88.84203303,-109.7128513,0.23665,0.092,1.0888,0,25,234,0,38,234,
10,-20,10,12.123084,0.317808532,-16.20529623,0.01365,0.01425,0.03685,0,24,1,0,39,19,
10,-20,5,12.38379953,-0.954544914,-8.096491798,0.0136,0.01465,0.02525,0,28,13,0,39,27,
15,15,-40,14.48481279,28.26924177,-46.45054872,0.03095,0.01815,0.1321,0,21,78,0,39,95,
25,50,-80,27.84525254,67.73859391,-95.02036764,0.12865,0.054,0.67595,0,19,171,0,39,184,
10,-25,15,12.79752294,-14.56325843,-4.154504277,0.01,0.0153,0.0212,0,31,0,0,40,0,
20,35,-65,22.47886713,46.53785893,-73.17331714,0.07285,0.0365,0.3696,0,26,137,0,40,146,
15,10,-35,15.1959243,15.70841402,-38.37872885,0.02575,0.01945,0.10655,0,24,71,0,41,88,
30,60,-90,33.79474168,79.10659735,-110.835046,0.1927,0.0791,1.0356,0,19,205,0,41,216,
15,5,-30,16.86889643,10.41668643,-34.10385351,0.02675,0.02275,0.1018,0,25,63,0,43,81,
20,30,-60,21.30112003,43.22077103,-68.48750424,0.06455,0.03325,0.31875,0,28,127,0,43,138,
25,45,-75,27.12995737,61.2929595,-89.58066349,0.11485,0.0514,0.5997,0,23,160,0,43,176,
30,60,-95,35.58656422,83.12748334,-111.0576479,0.21675,0.08795,1.0888,0,28,221,0,43,225,
100,-5,30,15.51346189,-9.583804515,-8.367974269,0.0153,0.02005,0.03355,255,250,187,0,44,2,
