Type,Method,Bg_RRGGBB, Bg_L,Bg_a,Bg_b,Bg_TD_RRGGBB,Bg_TD_L,Bg_TD_a,Bg_TD_b,Bg_ND_RRGGBB,Bg_ND_L,Bg_ND_a,Bg_ND_b,Fg_L,Fg_a,Fg_b,CD_Fg_L,CD_Fg_a,CD_Fg_b,Com_Fg_L,Com_Fg_a,Com_Fg_b,GammutFlag,ComS_Fg_L,ComS_Fg_a,ComS_Fg_b,Measured_L,Measured_a,Measured_b
BP,TD,0x39469e,32.91127083,24.71398711,-51.44824535,,15.26408965,16.43366418,-36.62239023,0x373fa6,31.33946152,32.58337179,-58.93719936,85.68778052,-37.85960439,32.84451164,62.650881,-5.52133,13.561691,90.25306616,-57.65811439,77.33193947,0,55.75950124,-20.76871929,35.55546923,63.74581,-3.78361,15.4002
BP,TD,0x39469e,32.91127083,24.71398711,-51.44824535,,15.26408965,16.43366418,-36.62239023,0x373fa6,31.33946152,32.58337179,-58.93719936,95.16589878,-24.06586005,66.46640361,66.0125227,2.967136806,26.84543035,92.13180762,-35.33323453,89.32881144,0,59.74717499,-8.259284701,30.60349037,64.41114,5.18517,26.91601
BP,TD,0x39469e,32.91127083,24.71398711,-51.44824535,,15.26408965,16.43366418,-36.62239023,0x373fa6,31.33946152,32.58337179,-58.93719936,66.67472819,28.09276083,51.57490264,55.62425902,18.25348914,29.30820199,76.25521486,7.998021913,78.80040264,1,47.0316359,8.055218957,-9.913413875,59.39771,18.04096,23.5613
BP,TD,0x39469e,32.91127083,24.71398711,-51.44824535,,15.26408965,16.43366418,-36.62239023,0x373fa6,31.33946152,32.58337179,-58.93719936,80.97533914,18.8468825,9.372718575,63.10247459,10.40032464,11.15206861,90.47125251,-10.14216626,71.79842395,0,56.30102117,0.144740703,43.26655239,65.31033,10.96151,15.76029
BP,TD,0x39469e,32.91127083,24.71398711,-51.44824535,,15.26408965,16.43366418,-36.62239023,0x373fa6,31.33946152,32.58337179,-58.93719936,52.71067444,32.73918167,-0.082042632,51.03636,14.809072,8.821856,57.31048018,4.131621228,52.86363558,0,40.90225244,1.135596981,-10.65022004,54.49077,12.63604,7.90225
BP,TD,0x39469e,32.91127083,24.71398711,-51.44824535,,15.26408965,16.43366418,-36.62239023,0x373fa6,31.33946152,32.58337179,-58.93719936,66.60264125,-52.90184363,52.14240298,54.54308922,-14.2916922,-5.361086778,75.94542762,-62.7374589,47.05232555,0,45.62542714,-41.45987222,29.31448659,58.75152,-14.59869,2.07735
BP,TD,0x39469e,32.91127083,24.71398711,-51.44824535,,15.26408965,16.43366418,-36.62239023,0x373fa6,31.33946152,32.58337179,-58.93719936,90.53172279,-28.48376176,4.62058006,65.662934,-8.778122,5.765519,90.44538749,-62.55677581,66.94082669,0,59.33688886,-23.38928105,94.3234611,63.4007,-8.63507,11.83826
BP,TD,0x39469e,32.91127083,24.71398711,-51.44824535,,15.26408965,16.43366418,-36.62239023,0x373fa6,31.33946152,32.58337179,-58.93719936,43.32757845,-11.03136919,-23.41023837,45.62049748,-14.14112403,-8.051349073,57.07997553,-53.90566264,42.24380998,0,32.90517129,-69.2853828,-16.01757585,51.76931,-16.08264,-0.30298
BP,TD,0x39469e,32.91127083,24.71398711,-51.44824535,,15.26408965,16.43366418,-36.62239023,0x373fa6,31.33946152,32.58337179,-58.93719936,95.3710678,4.521244393,5.125398465,68.08689451,3.599391001,10.67402495,95.27125257,-29.11701321,71.64626356,0,62.16305174,-6.784700047,91.55424309,66.97585,4.48593,14.70736
BP,TD,0x39469e,32.91127083,24.71398711,-51.44824535,,15.26408965,16.43366418,-36.62239023,0x373fa6,31.33946152,32.58337179,-58.93719936,9.437124332,24.16827504,-3.662796346,28.48541952,28.56106469,0.760377272,9.437124332,24.16827504,-3.662796346,1,14.71486939,1.017502514,-74.39087352,38.70787,29.25718,-13.2869
