Type,Method,Bg_RRGGBB, Bg_L,Bg_a,Bg_b,Bg_TD_RRGGBB,Bg_TD_L,Bg_TD_a,Bg_TD_b,Bg_ND_RRGGBB,Bg_ND_L,Bg_ND_a,Bg_ND_b,Fg_L,Fg_a,Fg_b,CD_Fg_L,CD_Fg_a,CD_Fg_b,Com_Fg_L,Com_Fg_a,Com_Fg_b,GammutFlag,ComS_Fg_L,ComS_Fg_a,ComS_Fg_b,Measured_L,Measured_a,Measured_b
BP,TD,0x39469e,32.91127083,24.71398711,-51.44824535,,15.26408965,16.43366418,-36.62239023,0x373fa6,31.33946152,32.58337179,-58.93719936,85.68778,-37.85960,32.84451,62.65088,-5.52133,13.56169,90.25307,-57.65811,77.33194,0.00000,55.75950,-20.76872,35.55547,63.74581,-3.78361,15.40020
BP,TD,0x39469e,32.91127083,24.71398711,-51.44824535,,15.26408965,16.43366418,-36.62239023,0x373fa6,31.33946152,32.58337179,-58.93719936,95.16590,-24.06586,66.46640,66.01252,2.96714,26.84543,92.13181,-35.33323,89.32881,0.00000,59.74717,-8.25928,30.60349,64.41114,5.18517,26.91601
BP,TD,0x39469e,32.91127083,24.71398711,-51.44824535,,15.26408965,16.43366418,-36.62239023,0x373fa6,31.33946152,32.58337179,-58.93719936,66.67473,28.09276,51.57490,55.62426,18.25349,29.30820,76.25521,7.99802,78.80040,1.00000,47.03164,8.05522,-9.91341,59.39771,18.04096,23.56130
BP,TD,0x39469e,32.91127083,24.71398711,-51.44824535,,15.26408965,16.43366418,-36.62239023,0x373fa6,31.33946152,32.58337179,-58.93719936,80.97534,18.84688,9.37272,63.10247,10.40032,11.15207,90.47125,-10.14217,71.79842,0.00000,56.30102,0.14474,43.26655,65.31033,10.96151,15.76029
BP,TD,0x39469e,32.91127083,24.71398711,-51.44824535,,15.26408965,16.43366418,-36.62239023,0x373fa6,31.33946152,32.58337179,-58.93719936,52.71067,32.73918,-0.08204,51.03636,14.80907,8.82186,57.31048,4.13162,52.86364,0.00000,40.90225,1.13560,-10.65022,54.49077,12.63604,7.90225
BP,TD,0x39469e,32.91127083,24.71398711,-51.44824535,,15.26408965,16.43366418,-36.62239023,0x373fa6,31.33946152,32.58337179,-58.93719936,66.60264,-52.90184,52.14240,54.54309,-14.29169,-5.36109,75.94543,-62.73746,47.05233,0.00000,45.62543,-41.45987,29.31449,58.75152,-14.59869,2.07735
BP,TD,0x39469e,32.91127083,24.71398711,-51.44824535,,15.26408965,16.43366418,-36.62239023,0x373fa6,31.33946152,32.58337179,-58.93719936,90.53172,-28.48376,4.62058,65.66293,-8.77812,5.76552,90.44539,-62.55678,66.94083,0.00000,59.33689,-23.38928,94.32346,63.40070,-8.63507,11.83826
BP,TD,0x39469e,32.91127083,24.71398711,-51.44824535,,15.26408965,16.43366418,-36.62239023,0x373fa6,31.33946152,32.58337179,-58.93719936,43.32758,-11.03137,-23.41024,45.62050,-14.14112,-8.05135,57.07998,-53.90566,42.24381,0.00000,32.90517,-69.28538,-16.01758,51.76931,-16.08264,-0.30298
BP,TD,0x39469e,32.91127083,24.71398711,-51.44824535,,15.26408965,16.43366418,-36.62239023,0x373fa6,31.33946152,32.58337179,-58.93719936,95.37107,4.52124,5.12540,68.08689,3.59939,10.67402,95.27125,-29.11701,71.64626,0.00000,62.16305,-6.78470,91.55424,66.97585,4.48593,14.70736
BP,TD,0x39469e,32.91127083,24.71398711,-51.44824535,,15.26408965,16.43366418,-36.62239023,0x373fa6,31.33946152,32.58337179,-58.93719936,9.43712,24.16828,-3.66280,28.48542,28.56106,0.76038,9.43712,24.16828,-3.66280,1.00000,14.71487,1.01750,-74.39087,38.70787,29.25718,-13.28690
