FgR,FgG,FgB,BgX,BgY,BgZ,FgL,FgA,Fg_B,BFL,BFA,BFB,BFDis,BFTime,QCHSL,QCHSA,QCHSB,QCHSCycles,QCHSDis,QCHSOffSet,QCHSTime,QCHSRatio,QCDL,QCDA,QCDB,QCDCycles,QCDDis,QCDOffSet,QCDTime,QCDRatio,SCL,SCA,SCB,SCCycles,SCDis,SCOffSet,SCTime,SCRatio
42,185,248,0.907815836,0.04254447,0.255453004,69.8383053,6.760536689,-52.0029219,18,8,24,99.3699878,15988,18,8,24,14,99.3699878,0,150,2,19,15,25,23,104.1932869,4.82329907,200,22,18,8,24,14,99.3699878,0,200,3
116,129,156,0.942167819,0.383654249,0.024625292,51.19229952,0.672543056,-32.70175542,17,9,21,86.52742085,15988,18,8,23,11,86.56312223,0.035701382,158,101,18,9,22,24,87.10390924,0.576488396,232,68,17,9,21,14,86.52742085,0,243,65
61,84,18,0.94156708,0.819994927,0.524681841,29.87448734,-20.54127856,14.81283004,10,11,24,80.59004049,15026,9,13,22,11,80.94667821,0.356637714,151,99,1,20,22,23,82.04054593,1.450505435,177,84,8,14,21,7,81.3099746,0.719934101,124,121
102,88,231,0.819725025,0.603555708,0.328478348,49.07495801,63.57564496,-87.80179654,6,34,3,59.71146117,15005,8,30,6,17,62.69249163,2.981030464,261,57,16,29,16,27,96.59192324,36.88046207,255,58,15,24,17,6,91.79440394,32.08294277,117,128
99,185,246,0.296697452,0.38279263,0.547050784,75.46065871,3.622912854,-42.30920912,9,29,14,1.747609226,14966,8,30,13,13,1.75142436,0.003815134,196,76,7,32,11,27,2.946975832,1.199366607,262,57,10,28,14,11,3.955627927,2.208018701,188,79
222,118,114,0.835211706,0.272792906,0.069367023,57.26492513,33.84924538,2.965965828,17,8,23,48.54415993,15041,17,8,23,13,48.54415993,0,169,89,17,9,25,25,49.40989802,0.865738092,211,71,17,10,24,11,49.48988412,0.945724187,189,79
238,72,136,0.483429802,0.859729379,0.60287607,52.86182832,64.41736203,-22.14097114,12,39,10,86.11035547,14954,12,39,10,10,86.11035547,0,131,114,18,24,19,26,120.356141,34.24578555,220,67,16,29,16,10,103.0598919,16.94953648,155,96
101,188,190,0.46997508,0.789073922,0.734581887,74.10333441,-22.97270247,-28.78059319,9,35,11,22.70054627,14891,9,35,11,18,22.70054627,0,188,79,8,36,8,28,23.62880637,0.928260101,240,62,9,35,11,18,22.70054627,0,295,50
3,48,146,0.41855046,0.76158916,0.440924393,24.85875554,37.67963611,-66.78039958,12,38,10,95.8358011,14872,12,38,10,12,95.8358011,0,143,104,17,26,18,28,127.5457604,31.70995926,245,60,12,33,12,14,103.3417702,7.505969109,223,66
107,106,123,0.921702346,0.302820666,0.793765433,45.39357026,0.595414975,-24.03127712,18,7,31,77.95329297,14892,18,8,29,13,78.01156159,0.058268617,146,102,19,14,28,26,84.61629511,6.663002131,220,67,18,8,29,13,78.01156159,0.058268617,207,71
