UP,VP,Red,Green,Blue
0.171677215,0.40585443,56.12435784,60.56340088,46.04525617
0.173090327,0.151350229,27.73486087,73.92168427,10.8591266
0.172121212,0.159669421,28.68793579,70.54926037,11.66278125
0.156427221,0.307301512,55.30445397,66.94260399,36.76893906
0.173035439,0.16155624,40.89925919,86.40255748,15.7168265
0.196850394,0.316683071,57.51970732,76.77675093,37.95275378
0.195526862,0.314387826,50.47135995,76.11727439,31.14773022
0.161090306,0.236478605,48.29366081,73.6305011,23.50556689
0.168522106,0.189977735,35.97974418,72.42549417,14.82499885
0.173404705,0.221862234,36.70363667,69.89247568,17.23484909
0.146108823,0.477996965,64.14533125,45.38001242,59.72975739
0.173422935,0.285822675,43.40418737,68.39238296,23.28882426
0.213485045,0.199994367,23.03435208,57.34055453,13.25220615
0.167989162,0.509483259,57.24745199,40.63738735,64.07949097
0.184975887,0.185685967,25.35929647,58.78020522,13.51814424
0.160308616,0.406986712,49.02327395,43.53970316,40.21550139
0.171311016,0.475219749,49.31910768,49.69315111,46.09977988
0.170935293,0.196796747,22.84907973,55.67545454,7.630386527
0.159619887,0.327847404,42.01455374,54.41199024,22.44968372
0.156234267,0.406276221,49.73027501,54.12953875,27.96931238
0.143318782,0.510233006,57.52702953,38.6030455,53.11124164
0.147306771,0.366314669,45.00765972,45.52784868,29.60474939
0.137955837,0.452168597,53.38555263,37.60937468,41.17943669
0.121807466,0.530836252,64.02062308,28.23010899,60.4423126
0.157789263,0.318479063,32.33872373,45.06059472,17.12854234
0.143329489,0.436908881,46.21335513,34.99179871,33.21255315
0.129815802,0.539234869,54.94622794,26.45470288,57.3857293
0.151262564,0.339237558,33.68519011,39.35164034,19.44359283
0.161559157,0.25432279,24.98137068,43.32897524,13.08499303
0.130256792,0.536123,50.98212866,20.49549121,52.95500538
0.147037508,0.347301263,32.10943453,33.28950298,19.61119716
0.13826829,0.458241442,41.81643172,28.31566822,29.56541317
0.136347826,0.498931677,40.96603545,25.30303394,36.4380457
0.1419855,0.432416912,34.60393811,25.74991464,23.54364466
0.129976749,0.541105721,42.95566155,16.25647527,46.51302569
0.129988879,0.537254417,40.6613401,20.76767116,41.49735501
0.12784417,0.550720785,40.32180593,16.96356798,45.02602037
0.133468534,0.502503327,38.44697739,19.11051792,30.36849334
0.149498502,0.345522401,25.26394789,27.89613158,11.39095196
0.13729066,0.466867878,31.64530833,17.27935821,26.43262764
0.174877829,0.376091221,20.92138181,24.47071104,10.45210217
0.142281879,0.412028911,25.60150471,16.35873507,17.400774
0.128566855,0.528097322,33.63308683,11.47044722,35.19861447
0.124187603,0.557693537,34.64722791,10.27570452,41.12453028
0.13672371,0.441101772,25.24902078,14.44672424,19.42729385
