Type,Bg_RRGGBB, Bg_L,Bg_a,Bg_b,Bg_TD_RRGGBB,Bg_TD_L,Bg_TD_a,Bg_TD_b,Bg_ND_RRGGBB,Bg_ND_L,Bg_ND_a,Bg_ND_b,Fg_L,Fg_a,Fg_b,CS_Fg_L,CS_Fg_a,CS_Fg_b,ComC_Fg_L,ComC_Fg_a,ComC_Fg_b,GammutFlag,CSBin_Fg_L,CSBin_Fg_a,CSBin_Fg_b,Measuredc_Fg_L,Measuredc_Fg_a,Measuredc_Fg_b
DND,0x39469e,32.91127083,24.71398711,-51.44824535,0x213785,25.01743187,22.19335206,-48.55347934,,,,,60.93862641,87.63190887,-49.14976831,36.02277346,55.3969018,-57.54604331,54.42955723,88.88494186,-26.42194876,0,54.42955723,88.88494186,-26.42194876,41.87600176,67.31617042,-78.35511809
DND,0x39469e,32.91127083,24.71398711,-51.44824535,0x213785,25.01743187,22.19335206,-48.55347934,,,,,15.96286606,-26.5519907,22.53485741,21.46864228,-19.65545773,7.86980471,25.87621185,47.64119311,-67.92301649,0,25.87621185,47.64119311,-67.92301649,39.74838819,50.93317641,-81.85346454
DND,0x39469e,32.91127083,24.71398711,-51.44824535,0x213785,25.01743187,22.19335206,-48.55347934,,,,,41.95829169,67.69972452,30.19816238,27.47678762,43.25445303,-3.125862615,28.58087948,73.56115401,-57.72288624,1,28.58087948,73.56115401,-57.72288624,39.25860121,64.57417836,-82.3492795
DND,0x39469e,32.91127083,24.71398711,-51.44824535,0x213785,25.01743187,22.19335206,-48.55347934,,,,,38.67638832,-5.57013274,-23.60776111,39.49612959,0.48264069,-30.20875539,22.56733505,-64.04514494,-37.9373278,1,22.56733505,-64.04514494,-37.9373278,45.15104234,12.38680673,-51.00951294
DND,0x39469e,32.91127083,24.71398711,-51.44824535,0x213785,25.01743187,22.19335206,-48.55347934,,,,,76.09218802,13.44395805,67.04102265,59.46629278,-23.17501446,43.15387628,71.71803199,4.193016512,25.14495686,0,71.71803199,4.193016512,25.14495686,68.54067538,-3.399207983,-20.24362018
DND,0x39469e,32.91127083,24.71398711,-51.44824535,0x213785,25.01743187,22.19335206,-48.55347934,,,,,80.85715742,-47.62589296,23.50394692,59.87066535,-11.29903644,-14.95699841,76.93061532,-66.30529253,104.0191581,1,76.93061532,-66.30529253,104.0191581,65.75645014,-30.83982596,13.08245047
DND,0x39469e,32.91127083,24.71398711,-51.44824535,0x213785,25.01743187,22.19335206,-48.55347934,,,,,18.41192565,46.57358866,-40.24567279,20.53771045,47.08909169,-47.70805346,24.27702758,6.543210673,-51.96454561,1,24.27702758,6.543210673,-51.96454561,42.95847358,27.20132692,-65.59467957
DND,0x39469e,32.91127083,24.71398711,-51.44824535,0x213785,25.01743187,22.19335206,-48.55347934,,,,,29.79566734,13.23962675,-18.26731491,30.9138713,13.00915235,-26.74597255,5.812667752,63.45372181,-85.32501671,1,5.812667752,63.45372181,-85.32501671,33.54165095,57.14596833,-83.26300749
DND,0x39469e,32.91127083,24.71398711,-51.44824535,0x213785,25.01743187,22.19335206,-48.55347934,,,,,57.53075034,18.94367634,4.569593536,51.41055111,8.343894717,-11.01968783,50.30309385,5.219502641,15.95066866,0,50.30309385,5.219502641,15.95066866,57.91344855,4.821078268,-23.84332268
DND,0x39469e,32.91127083,24.71398711,-51.44824535,0x213785,25.01743187,22.19335206,-48.55347934,,,,,20.53332315,4.316347484,-18.50963522,22.10629592,8.650204936,-26.47870928,22.55879432,41.92559665,-64.27573406,0,22.55879432,41.92559665,-64.27573406,39.68134256,48.77212819,-79.47534484
DND,0x39469e,32.91127083,24.71398711,-51.44824535,0x213785,25.01743187,22.19335206,-48.55347934,,,,,47.62920462,41.94102883,31.48524719,38.30507812,13.33938391,8.488123491,37.31239663,34.04193484,-40.05007787,0,37.31239663,34.04193484,-40.05007787,48.26003578,36.66605622,-64.86724244
DND,0x39469e,32.91127083,24.71398711,-51.44824535,0x213785,25.01743187,22.19335206,-48.55347934,,,,,28.90824461,38.43344994,-1.365694848,26.11323818,31.26049208,-15.78506142,8.943968505,-14.79976625,-88.75791259,1,8.943968505,-14.79976625,-88.75791259,41.61072653,40.98058366,-77.87370163
DND,0x39469e,32.91127083,24.71398711,-51.44824535,0x213785,25.01743187,22.19335206,-48.55347934,,,,,95.27125257,-29.11701321,71.64626356,59.35650351,-18.27575231,23.83729479,92.33847091,-39.38353475,85.46822838,1,92.33847091,-39.38353475,85.46822838,68.02061474,-20.09817304,10.08617935
DND,0x39469e,32.91127083,24.71398711,-51.44824535,0x213785,25.01743187,22.19335206,-48.55347934,,,,,85.20257844,-65.1820414,22.79239212,59.02057912,-16.52483113,-21.46212542,81.62483428,-85.10304196,78.94786165,1,81.62483428,-85.10304196,78.94786165,64.7636457,-40.32780142,12.19983926
DND,0x39469e,32.91127083,24.71398711,-51.44824535,0x213785,25.01743187,22.19335206,-48.55347934,,,,,47.57039914,52.35683355,8.096924153,37.02236721,28.67998486,-18.04328186,37.22857519,48.68699669,-28.29550035,0,37.22857519,48.68699669,-28.29550035,46.09640278,44.24430172,-59.32193411
DND,0x39469e,32.91127083,24.71398711,-51.44824535,0x213785,25.01743187,22.19335206,-48.55347934,,,,,62.32457606,13.94248991,-4.412570092,55.5074332,7.464012915,-23.18526585,56.07476482,0.732400393,84.06470044,1,56.07476482,0.732400393,84.06470044,60.90498735,-11.33366842,4.613103565
DND,0x39469e,32.91127083,24.71398711,-51.44824535,0x213785,25.01743187,22.19335206,-48.55347934,,,,,38.75064472,-14.57563752,-9.716595604,39.3861019,-6.279931909,-18.36744386,22.71620569,-33.08723124,-51.37400009,1,22.71620569,-33.08723124,-51.37400009,44.70251981,22.96886121,-60.73731494
DND,0x39469e,32.91127083,24.71398711,-51.44824535,0x213785,25.01743187,22.19335206,-48.55347934,,,,,81.12771471,-18.88878421,18.93637436,61.06301174,-0.599991335,-16.42870163,77.22441096,-31.86814065,81.38566771,1,77.22441096,-31.86814065,81.38566771,67.70249191,-21.29410246,16.33293902
DND,0x39469e,32.91127083,24.71398711,-51.44824535,0x213785,25.01743187,22.19335206,-48.55347934,,,,,62.30359365,-19.16899632,9.695759294,58.67228915,-13.42542882,-3.124433481,56.04998379,-43.66210013,31.03910594,0,56.04998379,-43.66210013,31.03910594,63.90911044,-26.08910215,-8.768077206
DND,0x39469e,32.91127083,24.71398711,-51.44824535,0x213785,25.01743187,22.19335206,-48.55347934,,,,,66.60598702,8.225610857,70.63869885,56.37201955,-24.19925971,59.477262,61.05958344,-4.760369847,-1.154519649,0,61.05958344,-4.760369847,-1.154519649,66.06663598,2.353968738,-33.59285255
DND,0x39469e,32.91127083,24.71398711,-51.44824535,0x213785,25.01743187,22.19335206,-48.55347934,,,,,28.41377437,49.03377728,-34.54748058,26.31760372,49.11297262,-46.43505849,10.43786382,-24.57206758,-66.41138984,1,10.43786382,-24.57206758,-66.41138984,40.06467426,29.98346143,-64.35721804
DND,0x39469e,32.91127083,24.71398711,-51.44824535,0x213785,25.01743187,22.19335206,-48.55347934,,,,,71.54210992,42.41345909,-0.055276394,55.5836672,7.859621436,-24.45030197,66.66057024,36.71981922,55.21625009,0,66.66057024,36.71981922,55.21625009,62.13442837,-5.597444044,-5.365595606
DND,0x39469e,32.91127083,24.71398711,-51.44824535,0x213785,25.01743187,22.19335206,-48.55347934,,,,,52.57500345,-52.63953111,37.49707105,51.19806117,-42.44886721,29.71565009,44.03582928,-155.9067844,-27.53913427,1,44.03582928,-155.9067844,-27.53913427,61.53323836,-2.846306147,-41.36110599
DND,0x39469e,32.91127083,24.71398711,-51.44824535,0x213785,25.01743187,22.19335206,-48.55347934,,,,,52.45038456,-20.46346597,-23.96714621,51.20958149,-5.07881847,-34.23697786,43.8730936,-62.7509001,59.17443836,1,43.8730936,-62.7509001,59.17443836,55.74575927,-29.81233962,-1.500681831
