Type,Bg_RRGGBB, Bg_L,Bg_a,Bg_b,Bg_TD_RRGGBB,Bg_TD_L,Bg_TD_a,Bg_TD_b,Bg_ND_RRGGBB,Bg_ND_L,Bg_ND_a,Bg_ND_b,Fg_L,Fg_a,Fg_b,CD_Fg_L,CD_Fg_a,CD_Fg_b,Com_Fg_L,Com_Fg_a,Com_Fg_b,GammutFlag,ComS_Fg_L,ComS_Fg_a,ComS_Fg_b,Measured_L,Measured_a,Measured_b
BPTD,0x39469e,32.91127083,24.71398711,-51.44824535,0x213785,25.01743187,22.19335206,-48.55347934,0x373fa6,31.33946152,32.58337179,-58.93719936,85.73142847,-42.63081484,42.45966425,60.36903124,-11.54552837,2.49648149,56.20164202,-22.10057239,47.36905907,0,61.97148269,-5.455306349,57.94188236,63.83570951,-13.49107624,5.961363968
BPTD,0x39469e,32.91127083,24.71398711,-51.44824535,0x213785,25.01743187,22.19335206,-48.55347934,0x373fa6,31.33946152,32.58337179,-58.93719936,7.872301999,31.15203371,-46.65853302,15.56576648,26.97772153,-44.54934565,17.48856576,8.144755852,-32.19041487,0,2.355131108,15.21732885,-26.48215506,28.43277401,29.77713876,-53.63598149
BPTD,0x39469e,32.91127083,24.71398711,-51.44824535,0x213785,25.01743187,22.19335206,-48.55347934,0x373fa6,31.33946152,32.58337179,-58.93719936,57.14305632,-48.01611313,18.32625533,55.40553433,-34.19425214,8.819404125,50.5745707,-54.27193492,55.93805429,1,60.32516129,-63.34661731,61.20283139,64.67580699,-38.52122025,12.50523937
BPTD,0x39469e,32.91127083,24.71398711,-51.44824535,0x213785,25.01743187,22.19335206,-48.55347934,0x373fa6,31.33946152,32.58337179,-58.93719936,52.29383522,47.00827373,41.23919,39.02760576,11.54298677,14.7732122,30.04417648,-2.648676953,-26.37011718,0,34.21330354,-9.872349429,-9.157687618,45.23441128,6.865753813,-39.65395918
BPTD,0x39469e,32.91127083,24.71398711,-51.44824535,0x213785,25.01743187,22.19335206,-48.55347934,0x373fa6,31.33946152,32.58337179,-58.93719936,24.88896678,23.41802281,-14.05177295,24.96754695,20.55200226,-25.09644713,0.145531566,6.177836037,-65.74269222,1,16.27403364,4.402767677,0.068388852,34.47779704,19.95736569,-43.81711785
BPTD,0x39469e,32.91127083,24.71398711,-51.44824535,0x213785,25.01743187,22.19335206,-48.55347934,0x373fa6,31.33946152,32.58337179,-58.93719936,71.52159846,-33.65992911,72.07491998,59.02057912,-32.03326647,65.48232774,54.68800626,-48.33671528,9.047791421,1,80.46332677,-73.7439053,51.75717765,65.56138247,-27.97658233,-7.677332758
BPTD,0x39469e,32.91127083,24.71398711,-51.44824535,0x213785,25.01743187,22.19335206,-48.55347934,0x373fa6,31.33946152,32.58337179,-58.93719936,81.08852261,18.62501609,-28.16587834,61.00602217,-2.441124423,-15.85919425,56.91321259,-11.02720714,9.082684751,0,66.8407257,14.2596019,27.81151295,65.75645014,-6.0099195,-14.45548144
BPTD,0x39469e,32.91127083,24.71398711,-51.44824535,0x213785,25.01743187,22.19335206,-48.55347934,0x373fa6,31.33946152,32.58337179,-58.93719936,20.53332315,4.316347484,-18.50963522,22.10629592,8.650204936,-26.47870928,7.913911566,36.35668031,-55.79996375,1,16.22709225,8.742105881,-4.441094539,34.64062977,22.24800792,-44.03514299
BPTD,0x39469e,32.91127083,24.71398711,-51.44824535,0x213785,25.01743187,22.19335206,-48.55347934,0x373fa6,31.33946152,32.58337179,-58.93719936,57.19296496,-24.75017553,-14.47956691,55.09807936,-10.29917503,-27.19498901,50.22051719,-22.89316169,-4.308441829,0,52.68379501,-28.60272264,4.435979997,59.29690051,-11.53179279,-27.71323678
BPTD,0x39469e,32.91127083,24.71398711,-51.44824535,0x213785,25.01743187,22.19335206,-48.55347934,0x373fa6,31.33946152,32.58337179,-58.93719936,85.70933854,-19.72842365,77.57158207,59.77110931,-25.47680576,48.29207752,55.53173279,-39.51330945,18.91572924,0,57.15875479,-51.86874984,27.55221864,63.14402875,-26.51170317,-9.675449062
BPTD,0x39469e,32.91127083,24.71398711,-51.44824535,0x213785,25.01743187,22.19335206,-48.55347934,0x373fa6,31.33946152,32.58337179,-58.93719936,66.88252755,-14.43205408,-42.43782918,58.34426106,-18.2666368,-21.10521384,53.92488035,-31.25903192,2.86876139,0,57.15634364,-44.46739749,13.42585601,63.32635071,-20.02641974,-19.33178734
BPTD,0x39469e,32.91127083,24.71398711,-51.44824535,0x213785,25.01743187,22.19335206,-48.55347934,0x373fa6,31.33946152,32.58337179,-58.93719936,48.22259861,18.14401561,14.09555225,44.41166536,6.776637022,1.836645482,37.30565217,-6.086604579,6.38377399,0,38.8025373,-4.732030027,22.7385464,48.03243044,1.967288888,-23.37098005
BPTD,0x39469e,32.91127083,24.71398711,-51.44824535,0x213785,25.01743187,22.19335206,-48.55347934,0x373fa6,31.33946152,32.58337179,-58.93719936,34.22746313,-1.657573684,-28.21634152,36.39499088,2.06181691,-33.23359583,26.1392994,-23.46037156,15.15931258,0,25.17535477,-18.8495173,24.04032807,39.08767961,6.516248026,-32.49251328
BPTD,0x39469e,32.91127083,24.71398711,-51.44824535,0x213785,25.01743187,22.19335206,-48.55347934,0x373fa6,31.33946152,32.58337179,-58.93719936,37.35610777,73.34774804,-67.89016656,29.56333772,67.79680466,-68.08749961,13.46509374,92.38672519,-62.55916432,1,32.79709022,63.66662781,-44.16735426,38.60336725,64.20824843,-75.63909383
BPTD,0x39469e,32.91127083,24.71398711,-51.44824535,0x213785,25.01743187,22.19335206,-48.55347934,0x373fa6,31.33946152,32.58337179,-58.93719936,38.2456562,-35.19773417,12.67831082,38.88116341,-25.67885323,4.764093108,29.83462039,-83.14485303,-20.00617853,1,44.98340137,-44.45134598,26.22787732,54.04821842,-19.05681209,-16.38867848
BPTD,0x39469e,32.91127083,24.71398711,-51.44824535,0x213785,25.01743187,22.19335206,-48.55347934,0x373fa6,31.33946152,32.58337179,-58.93719936,62.30359365,-19.16899632,9.695759294,58.67228915,-13.42542882,-3.124433481,54.29535488,-25.09113372,37.02581218,0,57.45100542,-19.31945124,53.34876223,61.90363941,-18.57357505,0.59966585
BPTD,0x39469e,32.91127083,24.71398711,-51.44824535,0x213785,25.01743187,22.19335206,-48.55347934,0x373fa6,31.33946152,32.58337179,-58.93719936,45.09203316,79.6987129,-56.61576009,30.96110402,71.22823075,-66.94219033,16.5719128,92.37218984,-59.29817438,1,41.88105194,78.49350495,-68.47126243,40.39379641,71.37238878,-79.971857
BPTD,0x39469e,32.91127083,24.71398711,-51.44824535,0x213785,25.01743187,22.19335206,-48.55347934,0x373fa6,31.33946152,32.58337179,-58.93719936,57.51623872,-14.83143933,53.2619988,53.5892576,-22.09807864,41.17921348,48.47213508,-39.36576133,4.673671095,1,52.47743755,-45.35869512,18.06914101,60.01500941,-19.21301613,-16.89401684
BPTD,0x39469e,32.91127083,24.71398711,-51.44824535,0x213785,25.01743187,22.19335206,-48.55347934,0x373fa6,31.33946152,32.58337179,-58.93719936,57.55960075,4.525768048,-14.05765619,52.84536601,7.769966879,-29.74612821,47.60304121,-1.097513421,-6.671486348,0,52.91139038,4.545596707,9.416982421,57.4052056,5.072096146,-28.36592948
BPTD,0x39469e,32.91127083,24.71398711,-51.44824535,0x213785,25.01743187,22.19335206,-48.55347934,0x373fa6,31.33946152,32.58337179,-58.93719936,71.6788979,-9.996248536,47.25752628,60.10045497,-20.62170353,28.3742017,55.90097235,-33.29504301,39.18779512,0,85.47286483,-62.56177899,72.36549239,66.42047532,-23.59284098,5.28211508
BPTD,0x39469e,32.91127083,24.71398711,-51.44824535,0x213785,25.01743187,22.19335206,-48.55347934,0x373fa6,31.33946152,32.58337179,-58.93719936,84.37690563,-78.81255411,62.03320774,57.35205892,-40.89630404,24.6885643,52.8002067,-61.54030307,32.33518518,1,80.7335906,-78.15830617,67.33825005,65.3024557,-36.12559397,4.038222773
BPTD,0x39469e,32.91127083,24.71398711,-51.44824535,0x213785,25.01743187,22.19335206,-48.55347934,0x373fa6,31.33946152,32.58337179,-58.93719936,66.81570717,-61.10192077,37.70211448,57.02667143,-39.72538852,20.80879523,52.42998908,-60.26248007,36.75781612,1,85.31837909,-82.22993803,72.09958185,64.80350931,-35.44625099,3.615461748
BPTD,0x39469e,32.91127083,24.71398711,-51.44824535,0x213785,25.01743187,22.19335206,-48.55347934,0x373fa6,31.33946152,32.58337179,-58.93719936,39.05095395,-18.87926173,18.41945002,38.39315009,-18.94555525,6.11410652,29.13039239,-65.87841651,-22.95057315,1,47.52907826,-40.36278522,12.9959441,56.34717676,-14.14173379,-21.14139729
