X,Y,Z
0.9504,1,1.0888
0.9504,1,1.0888
0.9504,1,1.0888
0.9504,1,1.0888
0.9504,1,1.0888
0.9504,1,1.0888
0.9504,1,1.0888
0.9504,1,1.0888
0.9504,1,1.0888
0.9504,1,1.0888
0.9504,1,1.0888
0.9504,1,1.0888
0.9504,1,1.0888
0.9504,1,1.0888
0.9504,1,1.0888
0.9504,1,1.0888
0.9504,1,1.0888
0.9504,1,1.0888
0.9504,1,1.0888
0.9504,1,1.0888
0.9504,1,1.0888
0.9504,1,1.0888
0.9504,1,1.0888
0.9504,1,1.0888
0.9504,1,1.0888
0.9504,1,1.0888
0.9504,1,1.0888
0.9504,1,1.0888
0.9504,1,1.0888
0.9504,1,1.0888
0.9504,1,1.0888
0.9504,1,1.0888
0.9504,1,1.0888
0.9504,1,1.0888
0.9504,1,1.0888
0.9504,1,1.0888
0.9504,1,1.0888
0.9504,1,1.0888
0.9504,1,1.0888
0.9504,1,1.0888
0.9504,1,1.0888
0.9504,1,1.0888
0.9504,1,1.0888
0.9504,1,1.0888
0.9504,1,1.0888
0.9504,1,1.0888
0.9504,1,1.0888
0.9504,1,1.0888
0.9504,1,1.0888
0.9504,1,1.0888
0.9504,1,1.0888
0.9504,1,1.0888
0.9504,1,1.0888
0.9504,1,1.0888
0.9504,1,1.0888
0.9504,1,1.0888
0.9504,1,1.0888
0.9504,1,1.0888
0.9504,1,1.0888
0.9504,1,1.0888
0.9504,1,1.0888
0.9504,1,1.0888
0.9504,1,1.0888
0.9504,1,1.0888
0.9504,1,1.0888
0.9504,1,1.0888
0.9504,1,1.0888
0.9504,1,1.0888
0.9504,1,1.0888
0.9504,1,1.0888
0.9504,1,1.0888
0.9504,1,1.0888
0.9504,1,1.0888
0.9504,1,1.0888
0.9504,1,1.0888
0.9504,1,1.0888
0.9504,1,1.0888
0.9504,1,1.0888
0.9504,1,1.0888
0.9504,1,1.0888
0.9504,1,1.0888
0.9504,1,1.0888
0.9504,1,1.0888
0.9504,1,1.0888
0.9504,1,1.0888
0.9504,1,1.0888
0.9504,1,1.0888
0.9504,1,1.0888
0.9504,1,1.0888
0.9504,1,1.0888
0.9504,1,1.0888
0.9504,1,1.0888
0.9504,1,1.0888
0.9504,1,1.0888
0.9504,1,1.0888
0.9504,1,1.0888
0.9504,1,1.0888
0.9504,1,1.0888
0.9504,1,1.0888
0.9504,1,1.0888
