X,Y,Z
0.7253,0.7592,0.7316
0.7293,0.7601,0.7256
0.7281,0.7587,0.7252
0.7231,0.7565,0.7239
0.7277,0.7577,0.7331
0.728,0.7577,0.7321
0.7262,0.7606,0.7278
0.7303,0.7599,0.7301
0.729,0.7608,0.7299
0.7276,0.7599,0.7287
0.7293,0.7643,0.7294
0.7299,0.7622,0.7325
0.7282,0.7618,0.7305
0.7306,0.7623,0.7275
0.7319,0.7646,0.7272
0.7281,0.7579,0.7221
0.7317,0.7644,0.7361
0.726,0.7587,0.7293
0.7272,0.7581,0.7273
0.7245,0.7564,0.7295
0.7297,0.7618,0.7323
0.7286,0.7627,0.7321
0.7267,0.7567,0.7293
0.7261,0.7585,0.7343
0.7297,0.7598,0.729
0.7261,0.7603,0.7252
0.7276,0.7595,0.7313
0.7277,0.7613,0.7301
0.7231,0.7536,0.7304
0.7223,0.7586,0.7262
0.7282,0.7623,0.7305
0.7272,0.7607,0.7289
0.7297,0.761,0.727
0.7257,0.757,0.7221
0.73,0.7621,0.7301
0.7184,0.7554,0.7259
0.7246,0.7618,0.7306
0.725,0.7581,0.7266
0.7217,0.7588,0.7248
0.7196,0.7565,0.7259
0.7211,0.7582,0.7294
0.7193,0.7554,0.7306
0.7214,0.7576,0.7184
0.7204,0.7572,0.7229
0.7222,0.7581,0.7222
0.7238,0.7612,0.7258
0.7234,0.7627,0.7252
0.7231,0.7589,0.7328
0.722,0.759,0.7284
0.7243,0.7622,0.7226
0.7238,0.7602,0.7279
0.7196,0.7586,0.7299
0.7229,0.759,0.7261
0.7226,0.7597,0.7264
0.7232,0.7597,0.7207
0.7236,0.7578,0.7282
0.7211,0.7573,0.7288
0.7236,0.7584,0.7255
0.7256,0.7624,0.7226
0.7223,0.7583,0.729
0.7199,0.7579,0.7217
0.7263,0.7619,0.7285
0.7205,0.7587,0.7297
0.7194,0.7579,0.7255
0.7197,0.7576,0.7211
0.7264,0.7632,0.7283
0.7206,0.7598,0.7259
0.7218,0.7603,0.7288
0.7244,0.7628,0.7278
0.7231,0.7614,0.7255
0.7222,0.7621,0.7183
0.7241,0.7602,0.728
0.722,0.7579,0.7216
0.7259,0.7581,0.7205
0.7216,0.7597,0.7237
0.7196,0.7597,0.7275
0.7202,0.7575,0.7232
0.7242,0.7592,0.7286
0.7222,0.761,0.7236
0.7316,0.7645,0.7386
0.7245,0.7625,0.7234
0.7292,0.7642,0.725
0.7187,0.7584,0.7217
0.7269,0.763,0.7217
0.7239,0.7599,0.7234
0.7237,0.7609,0.7256
0.7245,0.7575,0.729
0.7248,0.7621,0.7225
0.7258,0.761,0.7297
0.7226,0.7609,0.7244
0.7235,0.7606,0.7266
0.727,0.7606,0.7269
0.7247,0.7638,0.7288
0.7218,0.7582,0.7323
0.7219,0.7588,0.7298
0.7254,0.7599,0.73
0.7307,0.764,0.7358
0.7254,0.7628,0.7294
0.7268,0.7595,0.7255
0.721,0.7594,0.7303
