X,Y,Z
0.9504,0.9883,1.0888
0.9504,0.992,1.0888
0.9504,0.9901,1.0888
0.9504,0.9912,1.0888
0.9504,0.9923,1.0888
0.9504,0.9906,1.0888
0.9504,0.9874,1.0888
0.9504,0.9895,1.0888
0.9504,0.9888,1.0888
0.9504,0.9916,1.0888
0.9504,0.9907,1.0888
0.9504,0.9915,1.0888
0.9504,0.9905,1.0888
0.9504,0.9878,1.0888
0.9504,0.9919,1.0888
0.9504,0.9933,1.0888
0.9504,0.9919,1.0888
0.9504,0.9935,1.0888
0.9504,0.9934,1.0888
0.9504,0.9892,1.0888
0.9504,0.9895,1.0888
0.9504,0.9915,1.0888
0.9504,0.9933,1.0888
0.9504,0.9894,1.0888
0.9504,0.9893,1.0888
0.9504,0.9928,1.0888
0.9504,0.9912,1.0888
0.9504,0.9901,1.0888
0.9504,0.9917,1.0888
0.9504,0.9923,1.0888
0.9504,0.9899,1.0888
0.9504,0.9896,1.0888
0.9504,0.9911,1.0888
0.9504,0.9895,1.0888
0.9504,0.9906,1.0888
0.9504,0.9926,1.0888
0.9504,0.9867,1.0888
0.9504,0.9932,1.0888
0.9504,0.9905,1.0888
0.9504,0.9878,1.0888
0.9504,0.9909,1.0888
0.9504,0.9905,1.0888
0.9504,0.9911,1.0888
0.9504,0.9916,1.0888
0.9504,0.9897,1.0888
0.9504,0.9875,1.0888
0.9504,0.9881,1.0888
0.9504,0.9881,1.0888
0.9504,0.9914,1.0888
0.9504,0.9953,1.0888
0.9504,0.986,1.0888
0.9504,0.9949,1.0888
0.9504,0.9897,1.0888
0.9504,0.9909,1.0888
0.9504,0.9921,1.0888
0.9504,0.99,1.0888
0.9504,0.9898,1.0888
0.9504,0.987,1.0888
0.9504,0.9882,1.0888
0.9504,0.9902,1.0888
0.9504,0.9909,1.0888
0.9504,0.9891,1.0888
0.9504,0.9891,1.0888
0.9504,0.9899,1.0888
0.9504,0.9904,1.0888
0.9504,0.9921,1.0888
0.9504,0.9941,1.0888
0.9504,0.9913,1.0888
0.9504,0.9889,1.0888
0.9504,0.9861,1.0888
0.9504,0.9866,1.0888
0.9504,0.9892,1.0888
0.9504,0.9856,1.0888
0.9504,0.9924,1.0888
0.9504,0.985,1.0888
0.9504,0.9917,1.0888
0.9504,0.988,1.0888
0.9504,0.9869,1.0888
0.9504,0.9853,1.0888
0.9504,0.9902,1.0888
0.9504,0.9914,1.0888
0.9504,0.9926,1.0888
0.9504,0.9911,1.0888
0.9504,0.9881,1.0888
0.9504,0.9889,1.0888
0.9504,0.9888,1.0888
0.9504,0.988,1.0888
0.9504,0.9908,1.0888
0.9504,0.9874,1.0888
0.9504,0.9883,1.0888
0.9504,0.9852,1.0888
0.9504,0.9894,1.0888
0.9504,0.9873,1.0888
0.9504,0.9933,1.0888
0.9504,0.9894,1.0888
0.9504,0.9915,1.0888
0.9504,0.9887,1.0888
0.9504,0.9916,1.0888
0.9504,0.9887,1.0888
0.9504,0.9897,1.0888
