X,Y,Z,
0.2644,0.2809,0.4782,
0.2586,0.2778,0.4781,
0.2623,0.2808,0.4841,
0.2693,0.2839,0.4784,
0.2613,0.2804,0.4839,
0.2635,0.2809,0.4846,
0.2678,0.2832,0.4769,
0.265,0.2811,0.484,
0.2625,0.2772,0.4853,
0.2667,0.2823,0.4867,
0.2648,0.2824,0.4825,
0.2667,0.2823,0.4856,
0.2662,0.2818,0.4802,
0.2604,0.2769,0.4817,
0.2693,0.2875,0.4876,
0.2675,0.2851,0.4811,
0.2641,0.2814,0.4837,
0.2685,0.2833,0.4831,
0.2672,0.2849,0.4773,
0.2719,0.2875,0.4839,
0.2674,0.283,0.4884,
0.2729,0.2889,0.4828,
0.2697,0.2856,0.4801,
0.2684,0.2817,0.4921,
0.2693,0.2852,0.4822,
0.2708,0.2867,0.4831,
0.2667,0.283,0.4891,
0.2671,0.2845,0.4883,
0.2674,0.2828,0.4824,
0.266,0.2816,0.4911,
0.2682,0.2832,0.4816,
0.2695,0.2835,0.4835,
0.2724,0.2866,0.4836,
0.2695,0.2856,0.4861,
0.2637,0.2816,0.4767,
0.2682,0.2842,0.4858,
0.2669,0.282,0.4868,
0.2689,0.2855,0.484,
0.2646,0.2806,0.4849,
0.2629,0.278,0.481,
0.2644,0.2777,0.4846,
0.2698,0.2852,0.4855,
0.2659,0.281,0.4765,
0.2663,0.2809,0.4872,
0.2686,0.2838,0.483,
0.2628,0.2812,0.4832,
0.2623,0.2794,0.4822,
0.2654,0.2809,0.4806,
0.2655,0.2806,0.4801,
0.2681,0.2814,0.4841,
0.2659,0.2833,0.4872,
0.265,0.2794,0.4847,
0.2676,0.2845,0.4876,
0.2672,0.2851,0.4832,
0.2652,0.2822,0.4843,
0.2658,0.282,0.4837,
0.2657,0.2852,0.4882,
0.2665,0.2831,0.4846,
0.265,0.2798,0.481,
0.2671,0.2809,0.4898,
0.2615,0.2797,0.4729,
0.2623,0.28,0.4731,
0.2648,0.2801,0.4762,
0.2626,0.281,0.474,
0.2628,0.2791,0.4727,
0.2592,0.2785,0.4638,
0.262,0.2798,0.4767,
0.2638,0.2816,0.478,
0.2652,0.2815,0.4787,
0.259,0.2818,0.4765,
0.2632,0.2808,0.4701,
0.2677,0.2825,0.4725,
0.2652,0.2831,0.478,
0.2631,0.2809,0.4774,
0.2669,0.2831,0.4771,
0.2671,0.2851,0.4841,
0.2621,0.2812,0.4718,
0.2632,0.2807,0.4713,
0.2665,0.2815,0.4767,
0.2616,0.2797,0.4711,
0.2652,0.2827,0.4837,
0.2618,0.2803,0.4805,
0.2674,0.2859,0.476,
0.2627,0.2813,0.4825,
0.2634,0.2796,0.4758,
0.2632,0.2802,0.474,
0.2663,0.2816,0.4813,
0.2605,0.2807,0.4784,
0.2668,0.2831,0.4772,
0.2653,0.2812,0.4834,
0.2632,0.2803,0.4794,
0.2666,0.2819,0.4788,
0.2652,0.2856,0.4794,
0.2667,0.2825,0.4854,
0.2681,0.2835,0.4832,
0.2664,0.2845,0.4806,
0.269,0.2825,0.4804,
0.2623,0.2822,0.4719,
0.2622,0.2816,0.4792,
0.2665,0.2823,0.4777,
0.265572,0.282182,0.481033,AVG
