BinNo,Dsno,Distance,l,a,b,lx,ax,bx
0,922,0,0,0,0,0,0,0,
1,1007,2.29916744233144,1.40539487,9.876966008,-23.18453895,0,10,-25,
2,1007,3.3667030699336,1.755260542,12.33578483,-26.67268025,0,10,-25,
3,1051,2.41634790357648,2.231661508,15.68388026,-30.62508551,0,15,-30,
4,2940,2.38357358087281,2.77104824,19.47463297,-34.33879916,5,20,-35,
5,2984,3.05973903421739,3.374674215,23.58642018,-37.82695809,5,25,-40,
6,3117,3.675688826608,7.394585362,38.26596985,-52.1839846,5,40,-50,
7,6894,2.31540316498774,13.91964321,49.06045687,-66.81966473,15,50,-65,
8,6937,2.41764675062112,17.29909825,54.60188684,-74.36701583,15,55,-75,
9,10758,1.59786924892438,26.23019373,69.24656765,-94.31286885,25,70,-95,
10,12691,3.10553652361666,31.90146347,78.5459795,-106.9785394,30,80,-105,
11,10714,1.27760441378359,24.06713335,65.36436113,-89.20673219,25,65,-90,
12,8825,2.69767723192025,21.30206535,60.39028223,-82.66981373,20,60,-85,
13,6849,2.27786763294391,13.37211469,46.27284642,-64.04159906,15,45,-65,
14,8782,1.60304257461894,18.58096192,54.88962261,-75.73749119,20,55,-75,
15,965,3.23575234865675,1.670040989,2.844176148,-11.7416888,0,5,-10,
16,6849,1.76524040685057,14.23639359,46.59027747,-65.06321798,15,45,-65,
17,964,2.95169253016588,2.217300103,4.911716184,-16.94634915,0,5,-15,
18,3028,3.0368762903834,7.185829043,31.54522779,-46.4342385,5,30,-45,
19,4917,2.27739865736001,9.178416256,36.01466154,-51.8660136,10,35,-50,
20,4873,2.9334301135132,7.872301999,31.15203371,-46.65853302,10,30,-45,
21,8825,3.11806380921,22.41819384,59.66954698,-83.05952035,20,60,-85,
22,6893,2.25136865484468,17.1468492,49.33254112,-69.88084474,15,50,-70,
23,4784,1.93898641436307,9.468814231,21.86177075,-39.89360607,10,20,-40,
24,6761,2.28282581378896,14.70524884,36.33213206,-56.83025671,15,35,-55,
25,4829,2.92985069764007,10.78504716,22.84787731,-41.82649774,10,25,-40,
26,12647,3.7214650121624,31.94629889,72.754494,-102.2402958,30,75,-100,
27,10669,2.89349890380504,26.68718774,61.93385734,-88.66361337,25,60,-90,
28,4785,3.42485903299435,11.02671716,17.70673354,-37.32732469,10,20,-35,
29,6717,1.95697388533387,15.00025942,30.39367702,-51.91696769,15,30,-50,
30,8649,2.20014950425719,18.44740142,40.4814247,-63.5173248,20,40,-65,
31,4740,3.50627982834079,10.97581014,12.69529397,-32.54436914,10,15,-35,
32,10582,3.13055643265031,23.29329172,51.60508539,-77.07635048,25,50,-75,
33,4696,3.00744041926147,11.13455488,8.020888007,-28.04025542,10,10,-30,
34,12514,2.45705377957776,28.59759081,61.98578088,-90.35642115,30,60,-90,
35,6673,2.02645039604771,15.28340065,24.5930582,-46.9648368,15,25,-45,
36,4652,2.76857906948564,11.39099833,3.30498756,-23.30970815,10,5,-25,
37,4564,1.71876074874613,10.93235347,-3.565949719,-15.16839035,10,-5,-15,
38,4608,2.31574544264661,11.26761687,-1.055133118,-18.37441748,10,0,-20,
39,6628,2.34965265296296,15.13805946,20.02262492,-42.65451598,15,20,-45,
40,4521,1.5175564153353,10.67468863,-10.09725649,-6.35584435,10,-10,-5,
41,8605,1.36494647195195,20.01063415,36.00569964,-60.92278601,20,35,-60,
42,4520,2.45172615243004,11.41454459,-8.002347067,-9.860689237,10,-10,-10,
43,4564,2.53767414128133,11.6993193,-5.597229719,-13.21242605,10,-5,-15,
44,10538,2.44952494825674,23.60634211,45.33117759,-71.98701071,25,45,-70,
45,12558,3.32281985180316,32.20762235,66.32462113,-97.10069374,30,65,-95,
46,4478,3.06761228501522,10.94755471,-17.42557417,6.621411468,10,-15,5,
47,4477,1.78785857577187,11.28489207,-13.99738459,-0.735019044,10,-15,0,
48,4521,2.11577576389778,11.54163365,-11.4484587,-5.042897164,10,-10,-5,
49,6584,2.51962888695592,15.4182844,14.44851762,-37.5773083,15,15,-40,
50,12470,1.96149639593152,28.5813165,56.25678065,-85.50527976,30,55,-85,
51,4435,3.20446368379013,11.50779296,-22.2875766,16.66196907,10,-20,15,
52,4434,3.13389045388862,11.84621027,-18.6433261,7.861726644,10,-20,10,
53,6540,2.30910336350389,15.48078062,9.556550452,-32.785466,15,10,-35,
54,8561,0.910297558944061,20.13406024,30.21010544,-55.87551425,20,30,-55,
55,6540,2.63537512752893,16.42510166,12.00908387,-35.93694681,15,10,-35,
56,10494,2.86155353799785,23.55059709,40.17219161,-67.46131467,25,40,-65,
57,6496,2.35094151433177,15.63506379,4.610367629,-27.77024517,15,5,-30,
58,6541,2.8943725105673,16.18378792,7.935237097,-31.64705572,15,10,-30,
59,6540,3.20887383319062,16.93636288,12.12284592,-36.42859906,15,10,-35,
60,8517,1.53773590883976,19.85472656,25.55529208,-51.42659667,20,25,-50,
61,6452,1.68324219076232,15.56889679,0.943581141,-23.72747678,15,0,-25,
62,6497,2.88279988779026,16.36789407,3.025163727,-26.59355662,15,5,-25,
63,6408,2.18086029346849,15.87596939,-3.912347112,-18.32493569,15,-5,-20,
