BinNo,Dsno,Distance
0,4657,3.224513575
1,4610,0.799689201
2,4609,2.263980375
3,4653,2.622075682
4,4608,0.909391781
5,4607,2.511746167
6,4784,3.115213586
7,6849,3.011815672
8,8781,1.045021728
9,12690,1.722430588
10,16516,1.591435348
11,12646,2.531160318
12,10713,2.208799076
13,8650,3.40506112
14,10626,2.17728223
15,4519,1.406995992
16,8604,3.544666235
17,4610,1.470410904
18,4740,2.046471187
19,6584,1.483934236
20,6584,3.304911522
21,10713,2.58769169
22,8737,0.802527548
23,4695,1.52264767
24,6761,2.687355292
25,6585,3.347868292
26,16471,3.689698348
27,12646,1.061995881
28,6541,2.605196031
29,6672,1.336495518
30,8693,2.421617575
31,4696,3.374191386
32,10714,2.383050531
33,4651,2.014047293
34,12690,1.428743341
35,6672,0.889422323
36,4652,1.050633945
37,4608,1.645813841
38,4743,3.149003776
39,4828,3.528860493
40,2808,2.629397339
41,6892,3.713479915
42,4654,1.676918781
43,4698,1.810901229
44,10670,1.530986993
45,14670,2.381195626
46,4653,2.657161395
47,4655,1.294812705
48,4744,2.951441023
49,4829,2.095679016
50,12691,1.077057639
51,2898,2.780664347
52,6455,2.866685674
53,6631,2.776027719
54,8694,2.854562233
55,4829,2.693648776
56,8826,2.726403137
57,4830,1.605868771
58,6586,2.414626628
59,6674,1.99377951
60,6805,3.039038192
61,6587,3.863808614
62,4786,3.459617512
63,4786,2.099785565
64,4786,1.505851539
65,6761,2.040356049
66,8782,1.901487539
67,12647,2.365833258
68,14580,2.903065233
69,4652,2.564838192
70,4654,2.644856973
71,6672,2.129466836
72,8781,3.277574052
73,4654,1.630544184
74,4610,2.641984233
75,14625,1.814053619
76,4609,2.461955917
77,4610,3.196404178
78,6718,2.316254196
79,12603,3.12366915
80,6321,2.399273102
81,8692,3.441883584
82,6584,1.780100249
83,14535,1.717008368
84,6540,2.114114467
85,8693,2.673240072
86,10669,2.526718381
87,14580,2.229124336
88,6365,1.760786694
89,6497,2.502843638
90,6453,2.853368066
91,8605,3.287434018
92,8299,3.616587742
93,10625,2.600112845
94,6410,2.400287598
95,6409,2.719864519
96,8561,1.46614002
97,14535,2.094966927
98,6410,2.322682087
99,6411,2.420839088
100,6365,3.483672532
101,8167,2.434184452
102,6322,2.409173927
103,8517,1.836248698
104,10581,2.303780863
105,16471,2.658466303
106,6409,1.722763024
107,8473,1.492609438
108,10625,1.501787957
109,14446,1.84660681
110,10582,1.843560336
111,8474,1.153415125
112,10582,3.027282493
113,8385,1.495227852
114,16426,2.6190005
115,8341,3.382495149
116,8341,2.292242016
117,10494,2.928115647
118,12557,3.224737134
119,8298,2.720852741
120,10538,2.920564445
121,16472,2.323853054
122,8343,2.238526077
123,8210,1.961013349
124,10449,2.754413221
125,12514,2.944205867
126,16381,2.321057657
127,8211,1.908713856
128,8211,2.851984393
129,8210,2.335155687
130,8169,2.161866499
131,8214,2.223967146
132,8214,1.460604089
133,8257,2.175568419
134,10405,2.675448957
135,16427,3.336531903
136,10361,2.464741212
137,12470,1.825971558
138,10318,1.456248774
139,10318,2.669910239
140,12426,1.26501413
141,16381,2.530774556
142,10230,2.010269645
143,10319,1.732635604
144,12382,2.499026255
145,10231,1.422303584
146,10230,0.975103855
147,12381,2.828111024
148,16336,3.943304903
149,10013,2.482643672
150,10143,2.505814398
151,10099,2.07016496
152,12293,3.365965556
153,10055,2.002589459
154,12382,2.533595315
155,14447,3.695650279
156,10056,1.311167041
157,10011,2.728264002
158,10055,1.480469093
159,12250,2.096509781
160,18273,2.753342906
161,10057,1.545793943
162,10012,2.386442946
163,12294,2.232124257
164,10014,2.479822392
165,8169,2.462048996
166,10014,3.088956286
167,9969,3.079785907
168,12250,2.542515582
169,12294,2.663890953
170,12293,2.644159289
171,14358,2.215997506
172,12206,2.079363321
173,12205,2.474146155
174,18227,2.999491302
175,12117,3.18104237
176,14314,1.58101382
177,18273,1.595901952
178,12074,3.844124092
179,14270,1.019124175
180,16337,2.518917755
181,12074,2.937661618
182,12118,2.601782972
183,18227,2.745441271
184,11987,2.684692933
185,14226,2.183822101
186,11986,2.628076051
187,10098,3.092500329
188,11987,2.621898706
189,14182,2.247115169
190,18182,3.253592831
191,11943,2.837132777
192,10054,2.514069458
193,10011,3.568055932
194,10011,2.62927845
195,14138,3.313961609
196,10013,2.651852625
197,11813,3.499798026
198,11900,1.974976993
199,16247,2.35350682
200,9924,2.85502133
201,9924,2.56580767
202,9924,2.104595283
203,14050,2.874743727
204,16247,2.477823568
205,14006,3.131404862
206,12117,2.362473432
207,11725,1.98999499
208,12029,1.082920408
209,16158,0.931996309
210,12028,2.618931632
211,11941,2.712663182
212,11985,3.320960684
213,16114,1.928025335
214,11942,3.090799368
215,18184,2.922049041
216,11899,3.406428303
217,16026,1.842969276
218,11766,2.474853946
219,11853,3.289739157
220,11723,1.832562662
221,11811,3.145745329
222,15982,2.282501949
223,18093,1.941175664
224,11680,2.815369146
225,13568,3.132612496
226,19984,3.247610249
227,11725,3.236715415
228,11680,1.948051017
229,11724,2.534881045
230,15938,2.173865134
231,11636,2.776299712
232,11726,3.212220763
233,18048,1.160114747
234,15849,2.991274837
235,18094,2.697186936
236,15807,3.427523693
237,15851,3.877548961
238,18003,1.289237037
239,13918,3.103381046
240,18048,1.884880925
241,15807,3.262872182
242,13829,2.691781041
243,17958,1.528269331
244,13786,3.23662593
245,17870,3.26086904
246,13698,2.349802454
247,17914,2.5301207
248,15587,2.277625101
249,17826,2.525806297
250,13655,2.334445025
251,13654,3.217436416
252,17870,1.184983637
253,13526,1.182669247
254,13568,1.891241819
255,13611,1.892699138
256,15937,2.783118607
257,13569,1.661531594
258,13524,3.531342665
259,17826,3.023646117
260,13483,2.934171009
261,13482,2.37671737
262,13481,2.997075222
263,13525,3.155464397
264,15894,3.254758964
265,13482,2.12779104
266,17738,2.548184252
267,15805,2.318402258
268,19895,2.26053713
269,15761,2.401169772
270,15371,1.673704751
271,15718,3.016479273
272,19850,2.60398412
273,15630,2.27359065
274,19850,1.991658796
275,15674,2.474694993
276,19759,2.471344733
277,15586,2.15383326
278,19805,0.91169785
279,15498,2.765796743
280,15543,2.997066517
281,19714,2.022273771
282,15455,1.84234298
283,15368,3.14464305
284,19626,3.012824073
285,17257,3.83879894
286,15284,2.723692755
287,15281,2.797951588
288,15370,2.75486788
289,19582,1.663627084
290,15328,3.354901472
291,15328,4.099850382
292,15327,3.181573714
293,17129,2.705649465
294,19538,3.246568199
295,19495,3.307790493
296,17129,1.595366826
297,17517,3.024439382
298,17606,2.96021262
299,19494,2.096885776
300,17519,3.876234103
301,17517,2.45972365
302,21696,3.28426205
303,19275,3.24092426
304,19363,3.673352787
305,17387,2.575285831
306,17386,2.537335903
307,21606,1.830904958
308,17300,2.730493719
309,17344,3.680123093
310,21561,2.745443377
311,17256,3.153821446
312,17170,2.01792063
313,17169,2.675674281
314,17212,2.873049799
315,21471,2.349600178
316,17126,2.32672015
317,17126,2.865072629
318,18930,3.294929107
319,17084,3.106709698
320,18974,3.369367456
321,19059,3.075683398
322,21427,2.522241437
323,21294,3.073781234
324,21338,2.588096602
325,21250,3.320720444
326,21294,2.813562378
327,19362,2.34680114
328,19274,3.153881135
329,21163,2.590946073
330,19231,2.690679576
331,19143,2.813489488
332,19275,3.65041997
333,19187,3.456903545
334,19100,2.456305273
335,19057,2.612774839
336,19056,3.109166121
