L,A,B,MLA,MA,MlaB,MX,My,MZ,r,g,b
0,0,0,12.1887157,2.649431385,0.286074404,0.01455,0.01435,0.01535,0,0,0
1.40539487,9.876966008,-23.18453895,10.10715853,0.053429388,-10.79067387,0.01085,0.0114,0.02365,0,0,33
1.755260542,12.33578483,-26.67268025,9.279672257,2.041687903,-14.3379988,0.0104,0.01035,0.02645,0,0,38
2.231661508,15.68388026,-30.62508551,10.29662204,2.757293221,-18.67426905,0.0119,0.01165,0.0357,0,0,44
2.77104824,19.47463297,-34.33879916,10.77686278,-0.462337972,-19.90140369,0.01155,0.0123,0.03925,0,0,50
3.374674215,23.58642018,-37.82695809,10.55737043,1.795762316,-23.33463376,0.01195,0.012,0.04495,0,0,56
7.394585362,38.26596985,-52.1839846,12.1559381,18.60870889,-41.76657738,0.02085,0.0143,0.10025,0,0,86
13.91964321,49.06045687,-66.81966473,16.79649774,44.47661532,-67.36002076,0.0488,0.0226,0.2589,0,0,126
17.29909825,54.60188684,-74.36701583,20.75081962,54.71273048,-79.33230506,0.0736,0.0318,0.39545,0,0,148
26.23019373,69.24656765,-94.31286885,31.10223516,80.93984894,-110.9319489,0.1741,0.06695,0.96545,0,0,210
31.90146347,78.5459795,-106.9785394,39.54676477,96.31677891,-104.2297159,0.28775,0.1098,1.0888,0,0,252
24.06713335,65.36436113,-89.20673219,28.56415494,75.636501,-103.0150597,0.1459,0.0567,0.79175,0,1,194
21.30206535,60.39028223,-82.66981373,25.16806902,64.92047827,-92.79904056,0.10825,0.0447,0.5979,0,2,174
13.37211469,46.27284642,-64.04159906,17.82791387,37.5217945,-60.85731008,0.04685,0.0248,0.2304,0,3,120
18.58096192,54.88962261,-75.73749119,22.98180242,54.56323053,-79.3095879,0.08385,0.03795,0.4281,0,4,154
1.670040989,2.844176148,-11.7416888,9.481595126,-9.324104951,-13.8801518,0.0077,0.0106,0.0263,0,5,20
14.23639359,46.59027747,-65.06321798,17.57597016,37.4262108,-64.10432193,0.04595,0.02425,0.2471,0,5,124
2.217300103,4.911716184,-16.94634915,10.74053049,-0.97312234,-10.81655112,0.01135,0.01225,0.0251,0,6,27
7.185829043,31.54522779,-46.4342385,11.34524095,15.16338294,-36.53351789,0.0179,0.0131,0.07975,0,6,77
9.178416256,36.01466154,-51.8660136,14.5963776,16.32294975,-40.53754417,0.02475,0.01835,0.1105,0,6,90
7.872301999,31.15203371,-46.65853302,12.67149278,14.91657839,-37.65617084,0.0202,0.0151,0.0899,0,8,79
22.41819384,59.66954698,-83.05952035,26.24484291,66.74735237,-93.55318484,0.11715,0.0483,0.62695,0,9,178
17.1468492,49.33254112,-69.88084474,20.12381728,50.53558785,-74.41530743,0.0667,0.0302,0.34765,0,10,140
9.468814231,21.86177075,-39.89360607,10.48339408,11.40610594,-35.32810391,0.01505,0.0119,0.0723,0,13,73
14.70524884,36.33213206,-56.83025671,16.20544074,33.34853892,-56.74398033,0.0388,0.0214,0.1926,0,14,112
10.78504716,22.84787731,-41.82649774,12.98452508,12.64700429,-36.2686584,0.0198,0.0156,0.0873,0,15,79
31.94629889,72.754494,-102.2402958,37.86037197,92.11373095,-107.1372897,0.25925,0.1001,1.0888,0,15,243
26.68718774,61.93385734,-88.66361337,30.56855363,75.38620019,-105.8095872,0.16005,0.0647,0.8772,0,16,201
11.02671716,17.70673354,-37.32732469,13.91433577,10.5804223,-32.29597245,0.02065,0.01715,0.0803,0,18,73
15.00025942,30.39367702,-51.91696769,15.56576648,24.38007968,-51.0401093,0.0314,0.02015,0.15965,0,19,105
18.44740142,40.4814247,-63.5173248,18.21005552,46.29339697,-70.99370756,0.0553,0.02565,0.29885,0,19,133
10.97581014,12.69529397,-32.54436914,12.2540432,7.813996001,-28.76474971,0.01655,0.01445,0.0633,0,20,66
23.29329172,51.60508539,-77.07635048,24.62365968,62.85868843,-89.02425282,0.10245,0.04295,0.54775,0,20,170
11.13455488,8.020888007,-28.04025542,11.09950662,5.025854217,-28.31275276,0.01375,0.01275,0.0575,0,22,60
28.59759081,61.98578088,-90.35642115,31.41672527,80.18108657,-110.0374793,0.1752,0.0683,0.96015,0,22,210
15.28340065,24.5930582,-46.9648368,14.28758575,25.42319628,-50.32317629,0.02885,0.0178,0.14675,0,23,98
11.39099833,3.30498756,-23.30970815,10.3341887,5.914429723,-24.60507231,0.01295,0.0117,0.0467,0,24,54
10.93235347,-3.565949719,-15.16839035,9.197992617,-0.716788799,-18.75432702,0.00955,0.01025,0.03275,0,25,42
11.26761687,-1.055133118,-18.37441748,8.481269816,12.81541745,-21.68442349,0.0126,0.0094,0.0355,0,25,47
15.13805946,20.02262492,-42.65451598,11.58663639,27.47733592,-46.94890946,0.02385,0.01345,0.1149,0,25,91
10.67468863,-10.09725649,-6.35584435,6.50376,4.535574386,-17.89364175,0.00795,0.0072,0.0248,0,26,30
20.01063415,36.00569964,-60.92278601,17.13166765,51.92927152,-72.64971544,0.05615,0.0233,0.29745,0,26,133
11.41454459,-8.002347067,-9.860689237,8.949720386,6.240181966,-15.41342233,0.0112,0.00995,0.02715,0,27,36
11.6993193,-5.597229719,-13.21242605,9.156953469,11.60037607,-19.91378954,0.01315,0.0102,0.0345,0,27,41
23.60634211,45.33117759,-71.98701071,23.52211266,59.97036957,-84.60138713,0.0929,0.03955,0.485,0,27,162
32.20762235,66.32462113,-97.10069374,35.52784298,92.98792517,-111.1588914,0.23785,0.08765,1.0888,0,27,234
10.94755471,-17.42557417,6.621411468,9.320314887,6.475614209,-22.10264061,0.01175,0.0104,0.0387,0,28,14
11.28489207,-13.99738459,-0.735019044,10.25894775,4.681540913,-11.22803494,0.01245,0.0116,0.02455,0,28,24
11.54163365,-11.4484587,-5.042897164,8.084206062,12.7793688,-14.66903962,0.01205,0.00895,0.02415,0,28,30
15.4182844,14.44851762,-37.5773083,11.48370023,24.89221282,-41.47610504,0.0224,0.0133,0.0955,0,28,84
28.5813165,56.25678065,-85.50527976,29.61340736,79.12891699,-105.5018104,0.1594,0.0608,0.84985,0,29,201
11.50779296,-22.2875766,16.66196907,6.458595,12.7597068,-20.76529812,0.01,0.00715,0.02865,0,30,0
11.84621027,-18.6433261,7.861726644,12.67149278,-1.01599026,-8.671954568,0.014,0.0151,0.0267,0,30,14
15.48078062,9.556550452,-32.785466,13.35145675,20.1765978,-32.22653279,0.024,0.0162,0.07735,0,30,77
20.13406024,30.21010544,-55.87551425,18.18781231,43.30392551,-63.59009481,0.0527,0.0256,0.2504,0,30,125
16.42510166,12.00908387,-35.93694681,12.22141726,26.15956524,-40.98815866,0.02455,0.0144,0.09805,0,31,84
23.55059709,40.17219161,-67.46131467,20.9042695,61.14807099,-82.30163067,0.0812,0.0322,0.42295,0,31,154
15.63506379,4.610367629,-27.77024517,9.36082746,25.06568068,-36.47171975,0.01845,0.01045,0.0702,0,32,70
16.18378792,7.935237097,-31.64705572,13.65037199,15.97850292,-31.7468423,0.0226,0.0167,0.07745,0,32,77
16.93636288,12.12284592,-36.42859906,13.59107108,23.59165797,-39.91846007,0.02625,0.0166,0.10235,0,32,86
19.85472656,25.55529208,-51.42659667,17.01274463,42.2663412,-59.78020521,0.0478,0.02305,0.2163,0,32,117
15.56889679,0.943581141,-23.72747678,12.70310415,17.02910078,-27.35287834,0.0212,0.01515,0.06175,0,33,64
16.36789407,3.025163727,-26.59355662,11.51809788,17.79984053,-32.1962765,0.0193,0.01335,0.06875,0,34,70
15.87596939,-3.912347112,-18.32493569,8.084206062,19.62610316,-29.22602703,0.0143,0.00895,0.0482,0,35,57
16.32307788,-0.601169758,-22.52589817,11.41464541,19.52943798,-30.21198728,0.01985,0.0132,0.0633,0,35,64
20.05775714,20.35817061,-46.74061294,16.57736092,33.79173094,-54.53624229,0.0402,0.02215,0.18465,0,35,110
23.64265568,34.63511602,-62.63819444,20.96148551,54.95671799,-76.63991681,0.0748,0.03235,0.3764,0,35,146
28.76112109,50.61900914,-80.82850894,28.49856145,75.33688925,-101.7970406,0.14495,0.05645,0.7743,0,35,193
32.37819725,60.20684601,-92.07189121,34.72165492,86.36145856,-112.5488708,0.2157,0.0836,1.0888,0,35,225
15.92058821,-7.426702332,-13.97787765,11.02847221,6.935300816,-26.33238531,0.0143,0.01265,0.0528,0,36,51
16.01083155,-10.80577807,-9.50232329,11.48370023,6.395325336,-16.68729643,0.0148,0.0133,0.0358,0,37,45
20.04862361,15.78804082,-42.34792361,16.20544074,23.97272783,-48.57653468,0.0328,0.0214,0.15355,0,37,103
24.9750757,36.20252029,-65.10370891,21.92629184,57.4636526,-80.98097262,0.082,0.03495,0.4268,0,37,154
15.90663693,-16.38777429,-0.826388862,10.74053049,3.700068616,-15.64843452,0.0128,0.01225,0.03205,0,38,33
16.14528083,-14.00011839,-4.909175891,12.123084,-0.278706583,-11.54755215,0.01345,0.01425,0.02945,0,38,39
33.90189726,61.28913466,-94.27797106,36.36654625,88.84203303,-109.7128513,0.23665,0.092,1.0888,0,38,234
15.8978152,-21.62605845,9.567188275,12.123084,0.317808532,-16.20529623,0.01365,0.01425,0.03685,0,39,19
16.11987177,-19.11782972,3.945985128,12.38379953,-0.954544914,-8.096491798,0.0136,0.01465,0.02525,0,39,27
20.03278644,10.68012967,-37.26482176,14.48481279,28.26924177,-46.45054872,0.03095,0.01815,0.1321,0,39,95
28.60574946,45.33941809,-76.11243625,27.84525254,67.73859391,-95.02036764,0.12865,0.054,0.67595,0,39,184
15.96286606,-26.5519907,22.53485741,12.79752294,-14.56325843,-4.154504277,0.01,0.0153,0.0212,0,40,0
24.93263198,31.14281969,-60.50977305,22.47886713,46.53785893,-73.17331714,0.07285,0.0365,0.3696,0,40,146
20.17639852,5.970387361,-32.49772004,15.1959243,15.70841402,-38.37872885,0.02575,0.01945,0.10655,0,41,88
32.46260961,54.37777728,-87.14383056,33.79474168,79.10659735,-110.835046,0.1927,0.0791,1.0356,0,41,216
20.39061495,1.272597789,-27.55764097,16.86889643,10.41668643,-34.10385351,0.02675,0.02275,0.1018,0,43,81
24.9901053,25.87123613,-55.69700643,21.30112003,43.22077103,-68.48750424,0.06455,0.03325,0.31875,0,43,138
28.68239946,40.06653563,-71.51881911,27.12995737,61.2929595,-89.58066349,0.11485,0.0514,0.5997,0,43,176
33.81681628,56.01411677,-89.67982679,35.58656422,83.12748334,-111.0576479,0.21675,0.08795,1.0888,0,43,225
17.70178148,-27.71784078,23.85917535,15.51346189,-9.583804515,-8.367974269,0.0153,0.02005,0.03355,0,44,2
20.30615938,-2.639029884,-23.03082579,15.32901432,4.819679737,-27.47456268,0.0208,0.0197,0.07365,0,44,74
20.32539884,-6.040901218,-18.95183645,17.24974302,0.886862779,-21.51454286,0.0228,0.02355,0.0667,0,45,68
24.85052283,21.16787107,-51.15038455,21.9443692,37.23751723,-61.42132596,0.06155,0.035,0.27775,0,45,130
20.04155177,-12.34533462,-10.44721731,17.59903058,-2.217540787,-13.45159256,0.02205,0.0243,0.0495,0,46,55
